|dates|Union_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Union_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Union_NewJersey_UnitedStates.Male_Total_Population.data|Union_NewJersey_UnitedStates.Male_Total_Population.missing|Union_NewJersey_UnitedStates.Female_Total_Population.data|Union_NewJersey_UnitedStates.Female_Total_Population.missing|Union_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.data|Union_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-10-18|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-10-19|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-10-20|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-10-21|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-10-22|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-10-23|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-10-24|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-10-25|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-10-26|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-10-27|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-10-28|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-10-29|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-10-30|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-10-31|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-01|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-02|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-03|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-04|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-05|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-06|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-07|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-08|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-09|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-10|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-11|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-12|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-13|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-14|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-15|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-16|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-17|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-18|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-19|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-20|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-21|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-22|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-23|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-24|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-25|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-26|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-27|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-28|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-29|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-11-30|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-01|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-02|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-03|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-04|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-05|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-06|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-07|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-08|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-09|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-10|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-11|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-12|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-13|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-14|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-15|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-16|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-17|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-18|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-19|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-20|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-21|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-22|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-23|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-24|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-25|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-26|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-27|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-28|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-29|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-30|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2021-12-31|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-01|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-02|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-03|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-04|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-05|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-06|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-07|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-08|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-09|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-10|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-11|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-12|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-13|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-14|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-15|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-16|80252.0|0|272270.0|0|285797.0|0|130522.0|0
0|2022-01-17|80252.0|0|272270.0|0|285797.0|0|130522.0|0
