|dates|Brunswick_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Brunswick_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Brunswick_NorthCarolina_UnitedStates.Male_Total_Population.data|Brunswick_NorthCarolina_UnitedStates.Male_Total_Population.missing|Brunswick_NorthCarolina_UnitedStates.Female_Total_Population.data|Brunswick_NorthCarolina_UnitedStates.Female_Total_Population.missing|Brunswick_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Brunswick_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-10-18|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-10-19|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-10-20|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-10-21|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-10-22|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-10-23|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-10-24|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-10-25|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-10-26|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-10-27|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-10-28|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-10-29|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-10-30|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-10-31|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-01|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-02|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-03|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-04|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-05|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-06|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-07|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-08|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-09|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-10|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-11|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-12|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-13|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-14|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-15|43070.0|0|65301.0|0|71443.0|0|20873.0|0
0|2021-11-16|43070.0|0|65301.0|0|71443.0|0|20873.0|0
