|dates|Pacific_Washington_UnitedStates.JHU_ConfirmedCases.data|Pacific_Washington_UnitedStates.JHU_ConfirmedCases.missing|Pacific_Washington_UnitedStates.NYT_ConfirmedCases.data|Pacific_Washington_UnitedStates.NYT_ConfirmedCases.missing|Pacific_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Pacific_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Pacific_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Pacific_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1755.0|0|1755.0|0|28.0|0|0.0|100
0|2021-10-18|1755.0|0|1755.0|0|28.0|0|0.0|100
0|2021-10-19|1777.0|0|1777.0|0|29.0|0|0.0|100
0|2021-10-20|1779.0|0|1779.0|0|29.0|0|0.0|100
0|2021-10-21|1787.0|0|1787.0|0|31.0|0|0.0|100
0|2021-10-22|1791.0|0|1791.0|0|31.0|0|0.0|100
0|2021-10-23|1791.0|0|1791.0|0|31.0|0|0.0|100
0|2021-10-24|1791.0|0|1791.0|0|31.0|0|0.0|100
0|2021-10-25|1802.0|0|1802.0|0|31.0|0|0.0|100
0|2021-10-26|1805.0|0|1805.0|0|31.0|0|0.0|100
0|2021-10-27|1804.0|0|1804.0|0|31.0|0|0.0|100
0|2021-10-28|1804.0|0|1804.0|0|31.0|0|0.0|100
0|2021-10-29|1812.0|0|1812.0|0|32.0|0|0.0|100
0|2021-10-30|1812.0|0|1812.0|0|32.0|0|0.0|100
0|2021-10-31|1812.0|0|1812.0|0|32.0|0|0.0|100
0|2021-11-01|1815.0|0|1815.0|0|32.0|0|0.0|100
0|2021-11-02|1823.0|0|1823.0|0|33.0|0|0.0|100
0|2021-11-03|1823.0|0|1823.0|0|33.0|0|0.0|100
0|2021-11-04|1826.0|0|1826.0|0|33.0|0|0.0|100
0|2021-11-05|1828.0|0|1828.0|0|33.0|0|0.0|100
0|2021-11-06|1828.0|0|1828.0|0|33.0|0|0.0|100
0|2021-11-07|1828.0|0|1828.0|0|33.0|0|0.0|100
0|2021-11-08|1834.0|0|1834.0|0|33.0|0|0.0|100
0|2021-11-09|1838.0|0|1838.0|0|33.0|0|0.0|100
0|2021-11-10|1844.0|0|1844.0|0|33.0|0|0.0|100
0|2021-11-11|1844.0|0|1844.0|0|33.0|0|0.0|100
0|2021-11-12|1854.0|0|1854.0|0|34.0|0|0.0|100
0|2021-11-13|1854.0|0|1854.0|0|34.0|0|0.0|100
0|2021-11-14|1854.0|0|1854.0|0|34.0|0|0.0|100
0|2021-11-15|1864.0|0|1864.0|0|34.0|0|0.0|100
0|2021-11-16|1866.0|0|1866.0|0|34.0|0|0.0|100
0|2021-11-17|1871.0|0|1871.0|0|34.0|0|0.0|100
0|2021-11-18|1872.0|0|1872.0|0|34.0|0|0.0|100
