|dates|Lee_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Lee_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Lee_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Lee_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Lee_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Lee_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Lee_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Lee_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2084.0|0|2084.0|0|48.0|0|0.0|100
0|2021-10-18|2084.0|0|2084.0|0|48.0|0|0.0|100
0|2021-10-19|2084.0|0|2084.0|0|48.0|0|0.0|100
0|2021-10-20|2085.0|0|2085.0|0|48.0|0|0.0|100
0|2021-10-21|2089.0|0|2089.0|0|48.0|0|0.0|100
0|2021-10-22|2090.0|0|2090.0|0|48.0|0|0.0|100
0|2021-10-23|2091.0|0|2091.0|0|48.0|0|0.0|100
0|2021-10-24|2093.0|0|2093.0|0|48.0|0|0.0|100
0|2021-10-25|2093.0|0|2093.0|0|48.0|0|0.0|100
0|2021-10-26|2097.0|0|2097.0|0|48.0|0|0.0|100
0|2021-10-27|2112.0|0|2112.0|0|48.0|0|0.0|100
0|2021-10-28|2113.0|0|2113.0|0|49.0|0|0.0|100
0|2021-10-29|2114.0|0|2114.0|0|49.0|0|0.0|100
0|2021-10-30|2116.0|0|2116.0|0|49.0|0|0.0|100
0|2021-10-31|2144.0|0|2144.0|0|49.0|0|0.0|100
0|2021-11-01|2144.0|0|2144.0|0|49.0|0|0.0|100
0|2021-11-02|2143.0|0|2143.0|0|50.0|0|0.0|100
0|2021-11-03|2145.0|0|2145.0|0|50.0|0|0.0|100
0|2021-11-04|2145.0|0|2145.0|0|51.0|0|0.0|100
0|2021-11-05|2149.0|0|2149.0|0|51.0|0|0.0|100
0|2021-11-06|2151.0|0|2151.0|0|52.0|0|0.0|100
0|2021-11-07|2151.0|0|2151.0|0|52.0|0|0.0|100
0|2021-11-08|2151.0|0|2151.0|0|52.0|0|0.0|100
0|2021-11-09|2153.0|0|2153.0|0|52.0|0|0.0|100
0|2021-11-10|2153.0|0|2153.0|0|52.0|0|0.0|100
0|2021-11-11|2155.0|0|2155.0|0|52.0|0|0.0|100
0|2021-11-12|2156.0|0|2156.0|0|52.0|0|0.0|100
0|2021-11-13|2156.0|0|2156.0|0|52.0|0|0.0|100
0|2021-11-14|2157.0|0|2157.0|0|52.0|0|0.0|100
0|2021-11-15|2157.0|0|2157.0|0|52.0|0|0.0|100
0|2021-11-16|2158.0|0|2158.0|0|52.0|0|0.0|100
0|2021-11-17|2159.0|0|2159.0|0|52.0|0|0.0|100
0|2021-11-18|2159.0|0|2159.0|0|52.0|0|0.0|100
0|2021-11-19|2159.0|0|2159.0|0|52.0|0|0.0|100
0|2021-11-20|2159.0|0|2159.0|0|52.0|0|0.0|100
0|2021-11-21|2159.0|0|2159.0|0|52.0|0|0.0|100
0|2021-11-22|2160.0|0|2160.0|0|52.0|0|0.0|100
0|2021-11-23|2160.0|0|2160.0|0|52.0|0|0.0|100
0|2021-11-24|2166.0|0|2166.0|0|52.0|0|0.0|100
0|2021-11-25|2174.0|0|2174.0|0|52.0|0|0.0|100
0|2021-11-26|2182.0|0|2182.0|0|52.0|0|0.0|100
0|2021-11-27|2183.0|0|2183.0|0|52.0|0|0.0|100
0|2021-11-28|2183.0|0|2183.0|0|52.0|0|0.0|100
0|2021-11-29|2185.0|0|2185.0|0|52.0|0|0.0|100
0|2021-11-30|2185.0|0|2193.0|0|52.0|0|0.0|100
0|2021-12-01|2194.0|0|2194.0|0|52.0|0|0.0|100
0|2021-12-02|2201.0|0|2201.0|0|52.0|0|0.0|100
0|2021-12-03|2207.0|0|2207.0|0|52.0|0|0.0|100
0|2021-12-04|2209.0|0|2209.0|0|52.0|0|0.0|100
0|2021-12-05|2212.0|0|2212.0|0|52.0|0|0.0|100
0|2021-12-06|2213.0|0|2213.0|0|52.0|0|0.0|100
0|2021-12-07|2214.0|0|2214.0|0|53.0|0|0.0|100
0|2021-12-08|2215.0|0|2215.0|0|53.0|0|0.0|100
0|2021-12-09|2217.0|0|2217.0|0|53.0|0|0.0|100
0|2021-12-10|2217.0|0|2217.0|0|53.0|0|0.0|100
0|2021-12-11|2220.0|0|2220.0|0|53.0|0|0.0|100
0|2021-12-12|2221.0|0|2221.0|0|53.0|0|0.0|100
0|2021-12-13|2221.0|0|2221.0|0|53.0|0|0.0|100
0|2021-12-14|2221.0|0|2224.0|0|53.0|0|0.0|100
0|2021-12-15|2226.0|0|2226.0|0|53.0|0|0.0|100
0|2021-12-16|2228.0|0|2228.0|0|53.0|0|0.0|100
0|2021-12-17|2230.0|0|2230.0|0|53.0|0|0.0|100
0|2021-12-18|2230.0|0|2230.0|0|53.0|0|0.0|100
0|2021-12-19|2231.0|0|2231.0|0|53.0|0|0.0|100
0|2021-12-20|2233.0|0|2233.0|0|54.0|0|0.0|100
0|2021-12-21|2237.0|0|2237.0|0|54.0|0|0.0|100
0|2021-12-22|2239.0|0|2239.0|0|54.0|0|0.0|100
0|2021-12-23|2242.0|0|2242.0|0|54.0|0|0.0|100
0|2021-12-24|2247.0|0|2247.0|0|54.0|0|0.0|100
0|2021-12-25|2252.0|0|2252.0|0|54.0|0|0.0|100
0|2021-12-26|2254.0|0|2254.0|0|54.0|0|0.0|100
0|2021-12-27|2257.0|0|2257.0|0|55.0|0|0.0|100
0|2021-12-28|2264.0|0|2264.0|0|55.0|0|0.0|100
0|2021-12-29|2274.0|0|2274.0|0|55.0|0|0.0|100
0|2021-12-30|2283.0|0|2283.0|0|55.0|0|0.0|100
0|2021-12-31|2295.0|0|2295.0|0|55.0|0|0.0|100
0|2022-01-01|2313.0|0|2313.0|0|55.0|0|0.0|100
0|2022-01-02|2315.0|0|2315.0|0|55.0|0|0.0|100
0|2022-01-03|2324.0|0|2324.0|0|55.0|0|0.0|100
0|2022-01-04|2336.0|0|2336.0|0|55.0|0|0.0|100
0|2022-01-05|2363.0|0|2363.0|0|55.0|0|0.0|100
0|2022-01-06|2390.0|0|2390.0|0|55.0|0|0.0|100
0|2022-01-07|2404.0|0|2404.0|0|55.0|0|0.0|100
0|2022-01-08|2427.0|0|2427.0|0|55.0|0|0.0|100
0|2022-01-09|2427.0|0|2427.0|0|55.0|0|0.0|100
0|2022-01-10|2456.0|0|2456.0|0|55.0|0|0.0|100
0|2022-01-11|2472.0|0|2472.0|0|55.0|0|0.0|100
0|2022-01-12|2504.0|0|2504.0|0|55.0|0|0.0|100
0|2022-01-13|2504.0|0|2523.0|0|55.0|0|0.0|100
0|2022-01-14|2544.0|0|2544.0|0|54.0|0|0.0|100
0|2022-01-15|2580.0|0|2580.0|0|54.0|0|0.0|100
0|2022-01-16|2595.0|0|2595.0|0|54.0|0|0.0|100
0|2022-01-17|2608.0|0|0.0|100|54.0|0|0.0|100
