|dates|Scott_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Scott_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Scott_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Scott_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Scott_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Scott_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Scott_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Scott_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1709.0|0|1709.0|0|29.0|0|0.0|100
0|2021-10-18|1710.0|0|1710.0|0|29.0|0|0.0|100
0|2021-10-19|1710.0|0|1710.0|0|29.0|0|0.0|100
0|2021-10-20|1710.0|0|1710.0|0|29.0|0|0.0|100
0|2021-10-21|1715.0|0|1715.0|0|29.0|0|0.0|100
0|2021-10-22|1716.0|0|1716.0|0|29.0|0|0.0|100
0|2021-10-23|1717.0|0|1717.0|0|29.0|0|0.0|100
0|2021-10-24|1717.0|0|1717.0|0|29.0|0|0.0|100
0|2021-10-25|1717.0|0|1717.0|0|29.0|0|0.0|100
0|2021-10-26|1719.0|0|1719.0|0|29.0|0|0.0|100
0|2021-10-27|1720.0|0|1720.0|0|29.0|0|0.0|100
0|2021-10-28|1722.0|0|1722.0|0|29.0|0|0.0|100
0|2021-10-29|1722.0|0|1722.0|0|29.0|0|0.0|100
0|2021-10-30|1729.0|0|1729.0|0|29.0|0|0.0|100
0|2021-10-31|1729.0|0|1729.0|0|29.0|0|0.0|100
0|2021-11-01|1729.0|0|1729.0|0|29.0|0|0.0|100
0|2021-11-02|1731.0|0|1731.0|0|29.0|0|0.0|100
0|2021-11-03|1734.0|0|1734.0|0|29.0|0|0.0|100
0|2021-11-04|1734.0|0|1734.0|0|29.0|0|0.0|100
0|2021-11-05|1735.0|0|1735.0|0|29.0|0|0.0|100
0|2021-11-06|1736.0|0|1736.0|0|29.0|0|0.0|100
0|2021-11-07|1737.0|0|1737.0|0|29.0|0|0.0|100
0|2021-11-08|1737.0|0|1738.0|0|29.0|0|0.0|100
0|2021-11-09|1738.0|0|1738.0|0|30.0|0|0.0|100
0|2021-11-10|1738.0|0|1738.0|0|30.0|0|0.0|100
0|2021-11-11|1739.0|0|1739.0|0|30.0|0|0.0|100
0|2021-11-12|1739.0|0|1739.0|0|30.0|0|0.0|100
0|2021-11-13|1740.0|0|1740.0|0|30.0|0|0.0|100
0|2021-11-14|1740.0|0|1740.0|0|30.0|0|0.0|100
0|2021-11-15|1741.0|0|1741.0|0|30.0|0|0.0|100
0|2021-11-16|1742.0|0|1742.0|0|30.0|0|0.0|100
0|2021-11-17|1745.0|0|1745.0|0|30.0|0|0.0|100
0|2021-11-18|1747.0|0|1747.0|0|30.0|0|0.0|100
0|2021-11-19|1748.0|0|1748.0|0|30.0|0|0.0|100
0|2021-11-20|1748.0|0|1748.0|0|30.0|0|0.0|100
0|2021-11-21|1749.0|0|1749.0|0|30.0|0|0.0|100
0|2021-11-22|1750.0|0|1750.0|0|31.0|0|0.0|100
0|2021-11-23|1752.0|0|1752.0|0|31.0|0|0.0|100
0|2021-11-24|1754.0|0|1754.0|0|31.0|0|0.0|100
0|2021-11-25|1755.0|0|1755.0|0|31.0|0|0.0|100
0|2021-11-26|1755.0|0|1755.0|0|31.0|0|0.0|100
0|2021-11-27|1759.0|0|1759.0|0|31.0|0|0.0|100
0|2021-11-28|1759.0|0|1759.0|0|31.0|0|0.0|100
0|2021-11-29|1759.0|0|1759.0|0|31.0|0|0.0|100
0|2021-11-30|1759.0|0|1759.0|0|31.0|0|0.0|100
0|2021-12-01|1759.0|0|1759.0|0|31.0|0|0.0|100
0|2021-12-02|1759.0|0|1759.0|0|31.0|0|0.0|100
0|2021-12-03|1763.0|0|1763.0|0|31.0|0|0.0|100
0|2021-12-04|1766.0|0|1766.0|0|32.0|0|0.0|100
0|2021-12-05|1765.0|0|1765.0|0|32.0|0|0.0|100
0|2021-12-06|1766.0|0|1766.0|0|32.0|0|0.0|100
0|2021-12-07|1771.0|0|1771.0|0|32.0|0|0.0|100
0|2021-12-08|1772.0|0|1772.0|0|32.0|0|0.0|100
0|2021-12-09|1774.0|0|1774.0|0|32.0|0|0.0|100
0|2021-12-10|1775.0|0|1775.0|0|32.0|0|0.0|100
0|2021-12-11|1779.0|0|1779.0|0|32.0|0|0.0|100
0|2021-12-12|1780.0|0|1780.0|0|32.0|0|0.0|100
0|2021-12-13|1781.0|0|1781.0|0|32.0|0|0.0|100
0|2021-12-14|1781.0|0|1781.0|0|32.0|0|0.0|100
0|2021-12-15|1782.0|0|1782.0|0|32.0|0|0.0|100
0|2021-12-16|1785.0|0|1785.0|0|32.0|0|0.0|100
0|2021-12-17|1787.0|0|1787.0|0|32.0|0|0.0|100
0|2021-12-18|1793.0|0|1793.0|0|32.0|0|0.0|100
0|2021-12-19|1796.0|0|1796.0|0|32.0|0|0.0|100
0|2021-12-20|1796.0|0|1796.0|0|32.0|0|0.0|100
0|2021-12-21|1803.0|0|1803.0|0|33.0|0|0.0|100
0|2021-12-22|1803.0|0|1803.0|0|33.0|0|0.0|100
0|2021-12-23|1809.0|0|1809.0|0|33.0|0|0.0|100
0|2021-12-24|1817.0|0|1817.0|0|33.0|0|0.0|100
0|2021-12-25|1816.0|0|1816.0|0|33.0|0|0.0|100
0|2021-12-26|1817.0|0|1817.0|0|33.0|0|0.0|100
0|2021-12-27|1821.0|0|1821.0|0|33.0|0|0.0|100
0|2021-12-28|1825.0|0|1825.0|0|33.0|0|0.0|100
0|2021-12-29|1829.0|0|1829.0|0|33.0|0|0.0|100
0|2021-12-30|1834.0|0|1834.0|0|33.0|0|0.0|100
0|2021-12-31|1835.0|0|1835.0|0|33.0|0|0.0|100
0|2022-01-01|1839.0|0|1839.0|0|34.0|0|0.0|100
0|2022-01-02|1839.0|0|1839.0|0|34.0|0|0.0|100
0|2022-01-03|1840.0|0|1840.0|0|34.0|0|0.0|100
0|2022-01-04|1847.0|0|1847.0|0|34.0|0|0.0|100
0|2022-01-05|1853.0|0|1853.0|0|34.0|0|0.0|100
0|2022-01-06|1858.0|0|1858.0|0|34.0|0|0.0|100
0|2022-01-07|1870.0|0|1870.0|0|34.0|0|0.0|100
0|2022-01-08|1871.0|0|1871.0|0|34.0|0|0.0|100
0|2022-01-09|1871.0|0|1871.0|0|34.0|0|0.0|100
0|2022-01-10|1877.0|0|1877.0|0|34.0|0|0.0|100
0|2022-01-11|1890.0|0|1890.0|0|34.0|0|0.0|100
0|2022-01-12|1894.0|0|1894.0|0|34.0|0|0.0|100
0|2022-01-13|1894.0|0|1906.0|0|34.0|0|0.0|100
0|2022-01-14|1925.0|0|1925.0|0|35.0|0|0.0|100
0|2022-01-15|1932.0|0|1932.0|0|35.0|0|0.0|100
0|2022-01-16|1938.0|0|1938.0|0|35.0|0|0.0|100
0|2022-01-17|1947.0|0|0.0|100|35.0|0|0.0|100
