|dates|Moniteau_Missouri_UnitedStates.JHU_ConfirmedCases.data|Moniteau_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Moniteau_Missouri_UnitedStates.NYT_ConfirmedCases.data|Moniteau_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Moniteau_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Moniteau_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Moniteau_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Moniteau_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2565.0|0|2565.0|0|38.0|0|0.0|100
0|2021-10-18|2565.0|0|2565.0|0|38.0|0|0.0|100
0|2021-10-19|2567.0|0|2567.0|0|38.0|0|0.0|100
0|2021-10-20|2571.0|0|2571.0|0|38.0|0|0.0|100
0|2021-10-21|2577.0|0|2577.0|0|38.0|0|0.0|100
0|2021-10-22|2579.0|0|2579.0|0|38.0|0|0.0|100
0|2021-10-23|2581.0|0|2581.0|0|38.0|0|0.0|100
0|2021-10-24|2583.0|0|2583.0|0|38.0|0|0.0|100
0|2021-10-25|2583.0|0|2583.0|0|38.0|0|0.0|100
0|2021-10-26|2586.0|0|2586.0|0|38.0|0|0.0|100
0|2021-10-27|2585.0|0|2585.0|0|38.0|0|0.0|100
0|2021-10-28|2589.0|0|2589.0|0|39.0|0|0.0|100
0|2021-10-29|2594.0|0|2594.0|0|39.0|0|0.0|100
0|2021-10-30|2596.0|0|2596.0|0|39.0|0|0.0|100
0|2021-10-31|2597.0|0|2597.0|0|39.0|0|0.0|100
0|2021-11-01|2597.0|0|2597.0|0|39.0|0|0.0|100
0|2021-11-02|2609.0|0|2609.0|0|39.0|0|0.0|100
0|2021-11-03|2614.0|0|2614.0|0|39.0|0|0.0|100
0|2021-11-04|2617.0|0|2617.0|0|39.0|0|0.0|100
0|2021-11-05|2620.0|0|2620.0|0|39.0|0|0.0|100
0|2021-11-06|2622.0|0|2622.0|0|39.0|0|0.0|100
0|2021-11-07|2622.0|0|2622.0|0|39.0|0|0.0|100
0|2021-11-08|2623.0|0|2623.0|0|39.0|0|0.0|100
0|2021-11-09|2627.0|0|2627.0|0|40.0|0|0.0|100
0|2021-11-10|2627.0|0|2631.0|0|40.0|0|0.0|100
0|2021-11-11|2631.0|0|2631.0|0|40.0|0|0.0|100
0|2021-11-12|2636.0|0|2636.0|0|40.0|0|0.0|100
0|2021-11-13|2636.0|0|2636.0|0|40.0|0|0.0|100
0|2021-11-14|2636.0|0|2636.0|0|40.0|0|0.0|100
0|2021-11-15|2637.0|0|2637.0|0|40.0|0|0.0|100
0|2021-11-16|2642.0|0|2642.0|0|40.0|0|0.0|100
0|2021-11-17|2645.0|0|2645.0|0|40.0|0|0.0|100
0|2021-11-18|2750.0|0|2750.0|0|41.0|0|0.0|100
0|2021-11-19|2753.0|0|2753.0|0|41.0|0|0.0|100
0|2021-11-20|2755.0|0|2755.0|0|41.0|0|0.0|100
0|2021-11-21|2755.0|0|2755.0|0|41.0|0|0.0|100
0|2021-11-22|2759.0|0|2759.0|0|40.0|0|0.0|100
0|2021-11-23|2760.0|0|2760.0|0|40.0|0|0.0|100
0|2021-11-24|2761.0|0|2761.0|0|40.0|0|0.0|100
0|2021-11-25|2761.0|0|2761.0|0|40.0|0|0.0|100
0|2021-11-26|2761.0|0|2761.0|0|40.0|0|0.0|100
0|2021-11-27|2761.0|0|2761.0|0|40.0|0|0.0|100
0|2021-11-28|2761.0|0|2761.0|0|40.0|0|0.0|100
0|2021-11-29|2771.0|0|2771.0|0|40.0|0|0.0|100
0|2021-11-30|2776.0|0|2776.0|0|40.0|0|0.0|100
0|2021-12-01|2779.0|0|2779.0|0|40.0|0|0.0|100
0|2021-12-02|2779.0|0|2786.0|0|40.0|0|0.0|100
0|2021-12-03|2786.0|0|2786.0|0|46.0|0|0.0|100
0|2021-12-04|2797.0|0|2797.0|0|46.0|0|0.0|100
0|2021-12-05|2803.0|0|2803.0|0|46.0|0|0.0|100
0|2021-12-06|2807.0|0|2807.0|0|46.0|0|0.0|100
0|2021-12-07|2812.0|0|2812.0|0|46.0|0|0.0|100
0|2021-12-08|2826.0|0|2826.0|0|46.0|0|0.0|100
0|2021-12-09|2836.0|0|2836.0|0|46.0|0|0.0|100
0|2021-12-10|2845.0|0|2845.0|0|46.0|0|0.0|100
0|2021-12-11|2855.0|0|2855.0|0|46.0|0|0.0|100
0|2021-12-12|2856.0|0|2856.0|0|46.0|0|0.0|100
0|2021-12-13|2857.0|0|2857.0|0|46.0|0|0.0|100
0|2021-12-14|2857.0|0|2862.0|0|46.0|0|0.0|100
0|2021-12-15|2874.0|0|2874.0|0|46.0|0|0.0|100
0|2021-12-16|2887.0|0|2887.0|0|46.0|0|0.0|100
0|2021-12-17|2896.0|0|2896.0|0|46.0|0|0.0|100
0|2021-12-18|2905.0|0|2905.0|0|46.0|0|0.0|100
0|2021-12-19|2905.0|0|2905.0|0|46.0|0|0.0|100
0|2021-12-20|2909.0|0|2909.0|0|46.0|0|0.0|100
