|dates|Ashe_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Ashe_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Ashe_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Ashe_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Ashe_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Ashe_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Ashe_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Ashe_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3381.0|0|3381.0|0|48.0|0|0.0|100
0|2021-10-18|3403.0|0|3403.0|0|48.0|0|0.0|100
0|2021-10-19|3407.0|0|3407.0|0|48.0|0|0.0|100
0|2021-10-20|3409.0|0|3409.0|0|48.0|0|0.0|100
0|2021-10-21|3415.0|0|3415.0|0|48.0|0|0.0|100
0|2021-10-22|3420.0|0|3420.0|0|49.0|0|0.0|100
0|2021-10-23|3420.0|0|3420.0|0|49.0|0|0.0|100
0|2021-10-24|3420.0|0|3420.0|0|49.0|0|0.0|100
0|2021-10-25|3430.0|0|3430.0|0|48.0|0|0.0|100
0|2021-10-26|3430.0|0|3430.0|0|48.0|0|0.0|100
0|2021-10-27|3434.0|0|3434.0|0|48.0|0|0.0|100
0|2021-10-28|3441.0|0|3441.0|0|49.0|0|0.0|100
0|2021-10-29|3443.0|0|3443.0|0|49.0|0|0.0|100
0|2021-10-30|3443.0|0|3443.0|0|49.0|0|0.0|100
0|2021-10-31|3443.0|0|3443.0|0|49.0|0|0.0|100
0|2021-11-01|3448.0|0|3448.0|0|49.0|0|0.0|100
0|2021-11-02|3450.0|0|3450.0|0|49.0|0|0.0|100
0|2021-11-03|3453.0|0|3453.0|0|49.0|0|0.0|100
0|2021-11-04|3459.0|0|3459.0|0|49.0|0|0.0|100
0|2021-11-05|3465.0|0|3465.0|0|49.0|0|0.0|100
0|2021-11-06|3465.0|0|3465.0|0|49.0|0|0.0|100
0|2021-11-07|3465.0|0|3465.0|0|49.0|0|0.0|100
0|2021-11-08|3480.0|0|3480.0|0|49.0|0|0.0|100
0|2021-11-09|3482.0|0|3482.0|0|49.0|0|0.0|100
0|2021-11-10|3491.0|0|3491.0|0|49.0|0|0.0|100
0|2021-11-11|3491.0|0|3491.0|0|49.0|0|0.0|100
0|2021-11-12|3498.0|0|3498.0|0|49.0|0|0.0|100
0|2021-11-13|3498.0|0|3498.0|0|49.0|0|0.0|100
0|2021-11-14|3498.0|0|3498.0|0|49.0|0|0.0|100
0|2021-11-15|3509.0|0|3509.0|0|49.0|0|0.0|100
0|2021-11-16|3512.0|0|3512.0|0|50.0|0|0.0|100
