|dates|Richland_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Richland_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Richland_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Richland_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Richland_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Richland_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Richland_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Richland_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-10-18|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-10-19|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-10-20|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-10-21|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-10-22|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-10-23|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-10-24|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-10-25|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-10-26|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-10-27|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-10-28|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-10-29|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-10-30|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-10-31|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-11-01|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-11-02|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-11-03|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
0|2021-11-04|190386.0|0|7403.0|0|3.7428775108828094|0|197789.0|0
