|dates|Bethel_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bethel_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bethel_Alaska_UnitedStates.Male_Total_Population.data|Bethel_Alaska_UnitedStates.Male_Total_Population.missing|Bethel_Alaska_UnitedStates.Female_Total_Population.data|Bethel_Alaska_UnitedStates.Female_Total_Population.missing|Bethel_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|Bethel_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-10-18|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-10-19|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-10-20|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-10-21|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-10-22|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-10-23|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-10-24|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-10-25|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-10-26|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-10-27|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-10-28|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-10-29|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-10-30|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-10-31|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-01|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-02|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-03|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-04|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-05|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-06|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-07|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-08|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-09|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-10|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-11|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-12|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-13|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-14|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-15|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-16|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-17|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-18|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-19|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-20|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-21|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-22|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-23|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-24|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-25|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-26|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-27|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-28|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-29|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-11-30|1402.0|0|9376.0|0|8840.0|0|6542.0|0
0|2021-12-01|1402.0|0|9376.0|0|8840.0|0|6542.0|0
