|dates|Unassigned_Delaware_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Delaware_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Delaware_UnitedStates.NYT_ConfirmedCases.data|Unassigned_Delaware_UnitedStates.NYT_ConfirmedCases.missing|Unassigned_Delaware_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Delaware_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Delaware_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Delaware_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|378.0|0|378.0|0|0.0|0|0.0|100
0|2021-10-18|385.0|0|385.0|0|0.0|0|0.0|100
0|2021-10-19|389.0|0|389.0|0|0.0|0|0.0|100
0|2021-10-20|392.0|0|392.0|0|0.0|0|0.0|100
0|2021-10-21|396.0|0|396.0|0|0.0|0|0.0|100
0|2021-10-22|399.0|0|399.0|0|0.0|0|0.0|100
0|2021-10-23|405.0|0|405.0|0|0.0|0|0.0|100
0|2021-10-24|410.0|0|410.0|0|0.0|0|0.0|100
0|2021-10-25|413.0|0|413.0|0|0.0|0|0.0|100
0|2021-10-26|413.0|0|413.0|0|0.0|0|0.0|100
0|2021-10-27|414.0|0|414.0|0|0.0|0|0.0|100
0|2021-10-28|418.0|0|418.0|0|0.0|0|0.0|100
0|2021-10-29|421.0|0|421.0|0|0.0|0|0.0|100
0|2021-10-30|423.0|0|423.0|0|0.0|0|0.0|100
0|2021-10-31|426.0|0|426.0|0|0.0|0|0.0|100
0|2021-11-01|427.0|0|427.0|0|0.0|0|0.0|100
0|2021-11-02|431.0|0|431.0|0|0.0|0|0.0|100
0|2021-11-03|434.0|0|434.0|0|0.0|0|0.0|100
0|2021-11-04|440.0|0|440.0|0|0.0|0|0.0|100
0|2021-11-05|444.0|0|440.0|0|0.0|0|0.0|100
0|2021-11-06|445.0|0|445.0|0|0.0|0|0.0|100
0|2021-11-07|450.0|0|450.0|0|0.0|0|0.0|100
0|2021-11-08|454.0|0|454.0|0|0.0|0|0.0|100
0|2021-11-09|458.0|0|458.0|0|0.0|0|0.0|100
0|2021-11-10|458.0|0|460.0|0|0.0|0|0.0|100
0|2021-11-11|465.0|0|465.0|0|0.0|0|0.0|100
0|2021-11-12|470.0|0|470.0|0|0.0|0|0.0|100
0|2021-11-13|482.0|0|482.0|0|0.0|0|0.0|100
0|2021-11-14|484.0|0|484.0|0|0.0|0|0.0|100
0|2021-11-15|613.0|0|613.0|0|0.0|0|0.0|100
0|2021-11-16|741.0|0|741.0|0|0.0|0|0.0|100
0|2021-11-17|984.0|0|984.0|0|0.0|0|0.0|100
0|2021-11-18|1278.0|0|1278.0|0|0.0|0|0.0|100
