|dates|Delaware_NewYork_UnitedStates.JHU_ConfirmedCases.data|Delaware_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Delaware_NewYork_UnitedStates.NYT_ConfirmedCases.data|Delaware_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Delaware_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Delaware_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Delaware_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Delaware_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3507.0|0|3507.0|0|47.0|0|0.0|100
0|2021-10-18|3521.0|0|3521.0|0|47.0|0|0.0|100
0|2021-10-19|3529.0|0|3529.0|0|47.0|0|0.0|100
0|2021-10-20|3546.0|0|3546.0|0|47.0|0|0.0|100
0|2021-10-21|3560.0|0|3560.0|0|47.0|0|0.0|100
0|2021-10-22|3574.0|0|3574.0|0|48.0|0|0.0|100
0|2021-10-23|3585.0|0|3585.0|0|48.0|0|0.0|100
0|2021-10-24|3591.0|0|3591.0|0|48.0|0|0.0|100
0|2021-10-25|3603.0|0|3603.0|0|48.0|0|0.0|100
0|2021-10-26|3604.0|0|3604.0|0|48.0|0|0.0|100
0|2021-10-27|3623.0|0|3623.0|0|48.0|0|0.0|100
0|2021-10-28|3641.0|0|3641.0|0|48.0|0|0.0|100
0|2021-10-29|3662.0|0|3662.0|0|48.0|0|0.0|100
0|2021-10-30|3671.0|0|3671.0|0|48.0|0|0.0|100
0|2021-10-31|3696.0|0|3696.0|0|48.0|0|0.0|100
0|2021-11-01|3701.0|0|3701.0|0|48.0|0|0.0|100
0|2021-11-02|3709.0|0|3709.0|0|48.0|0|0.0|100
0|2021-11-03|3731.0|0|3731.0|0|49.0|0|0.0|100
0|2021-11-04|3751.0|0|3751.0|0|49.0|0|0.0|100
0|2021-11-05|3771.0|0|3771.0|0|49.0|0|0.0|100
0|2021-11-06|3792.0|0|3792.0|0|49.0|0|0.0|100
0|2021-11-07|3823.0|0|3823.0|0|49.0|0|0.0|100
0|2021-11-08|3842.0|0|3842.0|0|49.0|0|0.0|100
0|2021-11-09|3860.0|0|3860.0|0|49.0|0|0.0|100
0|2021-11-10|3860.0|0|3880.0|0|49.0|0|0.0|100
0|2021-11-11|3917.0|0|3917.0|0|49.0|0|0.0|100
0|2021-11-12|3939.0|0|3939.0|0|49.0|0|0.0|100
0|2021-11-13|3976.0|0|3976.0|0|49.0|0|0.0|100
0|2021-11-14|3997.0|0|3997.0|0|49.0|0|0.0|100
0|2021-11-15|4011.0|0|4011.0|0|49.0|0|0.0|100
0|2021-11-16|4043.0|0|4043.0|0|50.0|0|0.0|100
0|2021-11-17|4060.0|0|4060.0|0|50.0|0|0.0|100
0|2021-11-18|4088.0|0|4088.0|0|50.0|0|0.0|100
0|2021-11-19|4137.0|0|4137.0|0|51.0|0|0.0|100
0|2021-11-20|4175.0|0|4175.0|0|51.0|0|0.0|100
0|2021-11-21|4196.0|0|4196.0|0|51.0|0|0.0|100
0|2021-11-22|4211.0|0|4211.0|0|51.0|0|0.0|100
0|2021-11-23|4225.0|0|4225.0|0|51.0|0|0.0|100
0|2021-11-24|4254.0|0|4254.0|0|51.0|0|0.0|100
0|2021-11-25|4282.0|0|4282.0|0|51.0|0|0.0|100
0|2021-11-26|4301.0|0|4301.0|0|51.0|0|0.0|100
0|2021-11-27|4320.0|0|4320.0|0|51.0|0|0.0|100
0|2021-11-28|4344.0|0|4344.0|0|51.0|0|0.0|100
0|2021-11-29|4366.0|0|4366.0|0|51.0|0|0.0|100
0|2021-11-30|4399.0|0|4399.0|0|51.0|0|0.0|100
0|2021-12-01|4443.0|0|4443.0|0|52.0|0|0.0|100
0|2021-12-02|4505.0|0|4505.0|0|52.0|0|0.0|100
0|2021-12-03|4505.0|0|4576.0|0|52.0|0|0.0|100
0|2021-12-04|4625.0|0|4625.0|0|53.0|0|0.0|100
0|2021-12-05|4655.0|0|4655.0|0|53.0|0|0.0|100
0|2021-12-06|4677.0|0|4677.0|0|53.0|0|0.0|100
0|2021-12-07|4719.0|0|4719.0|0|53.0|0|0.0|100
0|2021-12-08|4761.0|0|4761.0|0|54.0|0|0.0|100
0|2021-12-09|4804.0|0|4804.0|0|54.0|0|0.0|100
0|2021-12-10|4840.0|0|4840.0|0|55.0|0|0.0|100
0|2021-12-11|4889.0|0|4889.0|0|55.0|0|0.0|100
0|2021-12-12|4912.0|0|4912.0|0|55.0|0|0.0|100
0|2021-12-13|4929.0|0|4929.0|0|55.0|0|0.0|100
0|2021-12-14|4929.0|0|4956.0|0|55.0|0|0.0|100
0|2021-12-15|4993.0|0|4993.0|0|56.0|0|0.0|100
0|2021-12-16|5029.0|0|5029.0|0|56.0|0|0.0|100
0|2021-12-17|5063.0|0|5063.0|0|56.0|0|0.0|100
0|2021-12-18|5095.0|0|5095.0|0|56.0|0|0.0|100
0|2021-12-19|5131.0|0|5131.0|0|56.0|0|0.0|100
0|2021-12-20|5147.0|0|5147.0|0|57.0|0|0.0|100
0|2021-12-21|5172.0|0|5172.0|0|57.0|0|0.0|100
0|2021-12-22|5208.0|0|5208.0|0|57.0|0|0.0|100
