|dates|Clark_Washington_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Clark_Washington_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Clark_Washington_UnitedStates.Male_Total_Population.data|Clark_Washington_UnitedStates.Male_Total_Population.missing|Clark_Washington_UnitedStates.Female_Total_Population.data|Clark_Washington_UnitedStates.Female_Total_Population.missing|Clark_Washington_UnitedStates.MaleAndFemale_Under18_Population.data|Clark_Washington_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-10-18|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-10-19|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-10-20|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-10-21|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-10-22|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-10-23|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-10-24|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-10-25|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-10-26|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-10-27|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-10-28|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-10-29|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-10-30|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-10-31|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-11-01|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-11-02|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-11-03|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-11-04|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-11-05|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-11-06|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-11-07|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-11-08|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-11-09|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-11-10|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-11-11|74530.0|0|238118.0|0|243739.0|0|115356.0|0
0|2021-11-12|74530.0|0|238118.0|0|243739.0|0|115356.0|0
