|dates|Clackamas_Oregon_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Clackamas_Oregon_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Clackamas_Oregon_UnitedStates.Male_Total_Population.data|Clackamas_Oregon_UnitedStates.Male_Total_Population.missing|Clackamas_Oregon_UnitedStates.Female_Total_Population.data|Clackamas_Oregon_UnitedStates.Female_Total_Population.missing|Clackamas_Oregon_UnitedStates.MaleAndFemale_Under18_Population.data|Clackamas_Oregon_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-10-18|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-10-19|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-10-20|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-10-21|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-10-22|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-10-23|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-10-24|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-10-25|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-10-26|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-10-27|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-10-28|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-10-29|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-10-30|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-10-31|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-01|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-02|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-03|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-04|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-05|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-06|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-07|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-08|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-09|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-10|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-11|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-12|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-13|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-14|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-15|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-16|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-17|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-18|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-19|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-20|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-21|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-22|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-23|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-24|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-25|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-26|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-27|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-28|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-29|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-11-30|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-12-01|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-12-02|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-12-03|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-12-04|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-12-05|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-12-06|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-12-07|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-12-08|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-12-09|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-12-10|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-12-11|75318.0|0|205076.0|0|210999.0|0|89515.0|0
0|2021-12-12|75318.0|0|205076.0|0|210999.0|0|89515.0|0
