|dates|Hamilton_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hamilton_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hamilton_Indiana_UnitedStates.Male_Total_Population.data|Hamilton_Indiana_UnitedStates.Male_Total_Population.missing|Hamilton_Indiana_UnitedStates.Female_Total_Population.data|Hamilton_Indiana_UnitedStates.Female_Total_Population.missing|Hamilton_Indiana_UnitedStates.MaleAndFemale_Under18_Population.data|Hamilton_Indiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-10-18|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-10-19|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-10-20|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-10-21|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-10-22|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-10-23|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-10-24|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-10-25|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-10-26|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-10-27|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-10-28|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-10-29|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-10-30|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-10-31|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-01|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-02|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-03|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-04|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-05|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-06|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-07|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-08|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-09|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-10|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-11|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-12|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-13|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-14|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-15|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-16|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-17|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-18|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-19|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-20|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-21|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-22|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-23|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-24|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-25|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-26|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-27|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-28|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-29|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-11-30|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-01|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-02|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-03|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-04|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-05|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-06|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-07|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-08|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-09|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-10|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-11|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-12|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-13|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-14|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-15|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-16|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-17|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-18|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-19|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-20|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-21|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-22|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-23|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-24|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-25|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-26|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-27|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-28|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-29|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-30|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2021-12-31|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2022-01-01|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2022-01-02|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2022-01-03|40862.0|0|161345.0|0|168741.0|0|89053.0|0
0|2022-01-04|40862.0|0|161345.0|0|168741.0|0|89053.0|0
