|dates|PointeCoupee_Louisiana_UnitedStates.JHU_ConfirmedCases.data|PointeCoupee_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|PointeCoupee_Louisiana_UnitedStates.NYT_ConfirmedCases.data|PointeCoupee_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|PointeCoupee_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|PointeCoupee_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|PointeCoupee_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|PointeCoupee_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3825.0|0|3825.0|0|83.0|0|0.0|100
0|2021-10-18|3827.0|0|3827.0|0|83.0|0|0.0|100
0|2021-10-19|3827.0|0|3827.0|0|83.0|0|0.0|100
0|2021-10-20|3838.0|0|3838.0|0|83.0|0|0.0|100
0|2021-10-21|3846.0|0|3846.0|0|83.0|0|0.0|100
0|2021-10-22|3849.0|0|3849.0|0|83.0|0|0.0|100
0|2021-10-23|3849.0|0|3849.0|0|83.0|0|0.0|100
0|2021-10-24|3849.0|0|3849.0|0|83.0|0|0.0|100
0|2021-10-25|3868.0|0|3868.0|0|83.0|0|0.0|100
0|2021-10-26|3870.0|0|3870.0|0|83.0|0|0.0|100
0|2021-10-27|3876.0|0|3876.0|0|83.0|0|0.0|100
0|2021-10-28|3879.0|0|3879.0|0|83.0|0|0.0|100
0|2021-10-29|3880.0|0|3880.0|0|83.0|0|0.0|100
0|2021-10-30|3880.0|0|3880.0|0|83.0|0|0.0|100
0|2021-10-31|3880.0|0|3880.0|0|83.0|0|0.0|100
0|2021-11-01|3901.0|0|3901.0|0|83.0|0|0.0|100
0|2021-11-02|3902.0|0|3902.0|0|83.0|0|0.0|100
0|2021-11-03|3910.0|0|3910.0|0|83.0|0|0.0|100
0|2021-11-04|3914.0|0|3914.0|0|83.0|0|0.0|100
0|2021-11-05|3915.0|0|3915.0|0|83.0|0|0.0|100
0|2021-11-06|3915.0|0|3915.0|0|83.0|0|0.0|100
0|2021-11-07|3915.0|0|3915.0|0|83.0|0|0.0|100
0|2021-11-08|3922.0|0|3922.0|0|83.0|0|0.0|100
0|2021-11-09|3932.0|0|3932.0|0|83.0|0|0.0|100
0|2021-11-10|3932.0|0|3949.0|0|83.0|0|0.0|100
0|2021-11-11|3949.0|0|3949.0|0|83.0|0|0.0|100
0|2021-11-12|3960.0|0|3960.0|0|83.0|0|0.0|100
0|2021-11-13|3960.0|0|3960.0|0|83.0|0|0.0|100
0|2021-11-14|3960.0|0|3960.0|0|83.0|0|0.0|100
0|2021-11-15|3970.0|0|3970.0|0|84.0|0|0.0|100
0|2021-11-16|3970.0|0|3970.0|0|84.0|0|0.0|100
0|2021-11-17|3975.0|0|3975.0|0|84.0|0|0.0|100
0|2021-11-18|3978.0|0|3978.0|0|84.0|0|0.0|100
0|2021-11-19|3979.0|0|3979.0|0|84.0|0|0.0|100
0|2021-11-20|3979.0|0|3979.0|0|84.0|0|0.0|100
0|2021-11-21|3979.0|0|3979.0|0|84.0|0|0.0|100
0|2021-11-22|3984.0|0|3984.0|0|84.0|0|0.0|100
0|2021-11-23|3984.0|0|3984.0|0|84.0|0|0.0|100
0|2021-11-24|3985.0|0|3985.0|0|84.0|0|0.0|100
