|dates|Saratoga_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Saratoga_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Saratoga_NewYork_UnitedStates.Male_Total_Population.data|Saratoga_NewYork_UnitedStates.Male_Total_Population.missing|Saratoga_NewYork_UnitedStates.Female_Total_Population.data|Saratoga_NewYork_UnitedStates.Female_Total_Population.missing|Saratoga_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Saratoga_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-10-18|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-10-19|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-10-20|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-10-21|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-10-22|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-10-23|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-10-24|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-10-25|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-10-26|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-10-27|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-10-28|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-10-29|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-10-30|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-10-31|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-01|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-02|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-03|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-04|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-05|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-06|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-07|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-08|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-09|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-10|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-11|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-12|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-13|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-14|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-15|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-16|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-17|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-18|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-19|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-20|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-21|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-22|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-23|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-24|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-25|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-26|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-27|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-28|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-29|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-11-30|41728.0|0|113980.0|0|116183.0|0|46168.0|0
0|2021-12-01|41728.0|0|113980.0|0|116183.0|0|46168.0|0
