|dates|Bernalillo_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bernalillo_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bernalillo_NewMexico_UnitedStates.Male_Total_Population.data|Bernalillo_NewMexico_UnitedStates.Male_Total_Population.missing|Bernalillo_NewMexico_UnitedStates.Female_Total_Population.data|Bernalillo_NewMexico_UnitedStates.Female_Total_Population.missing|Bernalillo_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.data|Bernalillo_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-10-18|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-10-19|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-10-20|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-10-21|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-10-22|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-10-23|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-10-24|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-10-25|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-10-26|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-10-27|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-10-28|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-10-29|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-10-30|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-10-31|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-01|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-02|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-03|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-04|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-05|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-06|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-07|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-08|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-09|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-10|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-11|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-12|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-13|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-14|111216.0|0|332972.0|0|345729.0|0|147370.0|0
0|2021-11-15|111216.0|0|332972.0|0|345729.0|0|147370.0|0
