|dates|Putnam_Ohio_UnitedStates.JHU_ConfirmedCases.data|Putnam_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Putnam_Ohio_UnitedStates.NYT_ConfirmedCases.data|Putnam_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Putnam_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Putnam_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Putnam_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Putnam_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5242.0|0|5242.0|0|112.0|0|0.0|100
0|2021-10-18|5250.0|0|5250.0|0|112.0|0|0.0|100
0|2021-10-19|5269.0|0|5269.0|0|112.0|0|0.0|100
0|2021-10-20|5283.0|0|5283.0|0|112.0|0|0.0|100
0|2021-10-21|5301.0|0|5301.0|0|112.0|0|0.0|100
0|2021-10-22|5323.0|0|5323.0|0|112.0|0|0.0|100
0|2021-10-23|5335.0|0|5335.0|0|112.0|0|0.0|100
0|2021-10-24|5341.0|0|5341.0|0|112.0|0|0.0|100
0|2021-10-25|5354.0|0|5354.0|0|112.0|0|0.0|100
0|2021-10-26|5366.0|0|5366.0|0|112.0|0|0.0|100
0|2021-10-27|5376.0|0|5376.0|0|112.0|0|0.0|100
0|2021-10-28|5394.0|0|5394.0|0|112.0|0|0.0|100
0|2021-10-29|5409.0|0|5409.0|0|112.0|0|0.0|100
0|2021-10-30|5436.0|0|5436.0|0|112.0|0|0.0|100
0|2021-10-31|5445.0|0|5445.0|0|112.0|0|0.0|100
0|2021-11-01|5449.0|0|5449.0|0|112.0|0|0.0|100
0|2021-11-02|5468.0|0|5468.0|0|112.0|0|0.0|100
0|2021-11-03|5496.0|0|5496.0|0|112.0|0|0.0|100
0|2021-11-04|5516.0|0|5516.0|0|112.0|0|0.0|100
0|2021-11-05|5535.0|0|5535.0|0|112.0|0|0.0|100
0|2021-11-06|5541.0|0|5541.0|0|112.0|0|0.0|100
0|2021-11-07|5552.0|0|5552.0|0|112.0|0|0.0|100
0|2021-11-08|5567.0|0|5567.0|0|112.0|0|0.0|100
0|2021-11-09|5606.0|0|5606.0|0|113.0|0|0.0|100
0|2021-11-10|5653.0|0|5653.0|0|113.0|0|0.0|100
0|2021-11-11|5674.0|0|5674.0|0|113.0|0|0.0|100
0|2021-11-12|5702.0|0|5702.0|0|116.0|0|0.0|100
0|2021-11-13|5724.0|0|5724.0|0|116.0|0|0.0|100
0|2021-11-14|5738.0|0|5738.0|0|116.0|0|0.0|100
0|2021-11-15|5755.0|0|5755.0|0|116.0|0|0.0|100
0|2021-11-16|5789.0|0|5789.0|0|116.0|0|0.0|100
0|2021-11-17|5816.0|0|5816.0|0|116.0|0|0.0|100
0|2021-11-18|5863.0|0|5863.0|0|116.0|0|0.0|100
0|2021-11-19|5883.0|0|5883.0|0|118.0|0|0.0|100
0|2021-11-20|5913.0|0|5913.0|0|118.0|0|0.0|100
0|2021-11-21|5927.0|0|5927.0|0|118.0|0|0.0|100
0|2021-11-22|5935.0|0|5935.0|0|118.0|0|0.0|100
0|2021-11-23|5985.0|0|5985.0|0|118.0|0|0.0|100
0|2021-11-24|6014.0|0|6014.0|0|118.0|0|0.0|100
0|2021-11-25|6014.0|0|6014.0|0|118.0|0|0.0|100
0|2021-11-26|6033.0|0|6033.0|0|120.0|0|0.0|100
0|2021-11-27|6054.0|0|6054.0|0|120.0|0|0.0|100
0|2021-11-28|6054.0|0|6067.0|0|120.0|0|0.0|100
0|2021-11-29|6089.0|0|6089.0|0|120.0|0|0.0|100
0|2021-11-30|6126.0|0|6126.0|0|120.0|0|0.0|100
0|2021-12-01|6171.0|0|6171.0|0|120.0|0|0.0|100
0|2021-12-02|6220.0|0|6220.0|0|120.0|0|0.0|100
0|2021-12-03|6244.0|0|6244.0|0|122.0|0|0.0|100
0|2021-12-04|6272.0|0|6272.0|0|122.0|0|0.0|100
0|2021-12-05|6288.0|0|6288.0|0|122.0|0|0.0|100
0|2021-12-06|6300.0|0|6300.0|0|122.0|0|0.0|100
0|2021-12-07|6343.0|0|6343.0|0|122.0|0|0.0|100
0|2021-12-08|6374.0|0|6374.0|0|122.0|0|0.0|100
0|2021-12-09|6397.0|0|6397.0|0|122.0|0|0.0|100
0|2021-12-10|6416.0|0|6416.0|0|122.0|0|0.0|100
0|2021-12-11|6435.0|0|6435.0|0|122.0|0|0.0|100
0|2021-12-12|6441.0|0|6441.0|0|122.0|0|0.0|100
0|2021-12-13|6447.0|0|6447.0|0|122.0|0|0.0|100
0|2021-12-14|6447.0|0|6470.0|0|122.0|0|0.0|100
0|2021-12-15|6491.0|0|6491.0|0|123.0|0|0.0|100
0|2021-12-16|6508.0|0|6508.0|0|123.0|0|0.0|100
0|2021-12-17|6518.0|0|6518.0|0|128.0|0|0.0|100
0|2021-12-18|6534.0|0|6534.0|0|128.0|0|0.0|100
0|2021-12-19|6540.0|0|6540.0|0|128.0|0|0.0|100
0|2021-12-20|6551.0|0|6551.0|0|128.0|0|0.0|100
0|2021-12-21|6562.0|0|6562.0|0|128.0|0|0.0|100
0|2021-12-22|6580.0|0|6580.0|0|128.0|0|0.0|100
0|2021-12-23|6590.0|0|6590.0|0|128.0|0|0.0|100
0|2021-12-24|6600.0|0|6600.0|0|129.0|0|0.0|100
0|2021-12-25|6600.0|0|6600.0|0|129.0|0|0.0|100
0|2021-12-26|6616.0|0|6616.0|0|129.0|0|0.0|100
0|2021-12-27|6618.0|0|6618.0|0|129.0|0|0.0|100
0|2021-12-28|6641.0|0|6641.0|0|129.0|0|0.0|100
0|2021-12-29|6672.0|0|6672.0|0|129.0|0|0.0|100
0|2021-12-30|6696.0|0|6696.0|0|129.0|0|0.0|100
0|2021-12-31|6728.0|0|6728.0|0|131.0|0|0.0|100
0|2022-01-01|6728.0|0|6728.0|0|131.0|0|0.0|100
0|2022-01-02|6768.0|0|6768.0|0|131.0|0|0.0|100
0|2022-01-03|6790.0|0|6790.0|0|131.0|0|0.0|100
0|2022-01-04|6840.0|0|6840.0|0|132.0|0|0.0|100
0|2022-01-05|6888.0|0|6888.0|0|132.0|0|0.0|100
0|2022-01-06|6942.0|0|6942.0|0|132.0|0|0.0|100
0|2022-01-07|6989.0|0|6989.0|0|133.0|0|0.0|100
0|2022-01-08|7060.0|0|7060.0|0|133.0|0|0.0|100
0|2022-01-09|7116.0|0|7116.0|0|133.0|0|0.0|100
0|2022-01-10|7148.0|0|7148.0|0|133.0|0|0.0|100
0|2022-01-11|7217.0|0|7217.0|0|133.0|0|0.0|100
0|2022-01-12|7259.0|0|7259.0|0|133.0|0|0.0|100
0|2022-01-13|7259.0|0|7332.0|0|133.0|0|0.0|100
0|2022-01-14|7471.0|0|7471.0|0|135.0|0|0.0|100
0|2022-01-15|7633.0|0|7633.0|0|135.0|0|0.0|100
0|2022-01-16|7685.0|0|7685.0|0|135.0|0|0.0|100
0|2022-01-17|7731.0|0|0.0|100|135.0|0|0.0|100
