|dates|Spartanburg_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Spartanburg_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Spartanburg_SouthCarolina_UnitedStates.Male_Total_Population.data|Spartanburg_SouthCarolina_UnitedStates.Male_Total_Population.missing|Spartanburg_SouthCarolina_UnitedStates.Female_Total_Population.data|Spartanburg_SouthCarolina_UnitedStates.Female_Total_Population.missing|Spartanburg_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Spartanburg_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-10-18|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-10-19|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-10-20|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-10-21|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-10-22|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-10-23|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-10-24|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-10-25|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-10-26|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-10-27|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-10-28|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-10-29|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-10-30|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-10-31|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-01|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-02|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-03|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-04|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-05|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-06|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-07|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-08|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-09|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-10|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-11|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-12|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-13|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-14|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-15|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-16|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-17|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-18|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-19|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-20|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-21|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-22|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-23|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-24|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-25|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-26|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-27|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-28|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-29|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-11-30|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-12-01|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-12-02|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-12-03|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-12-04|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-12-05|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-12-06|50812.0|0|152188.0|0|161700.0|0|72501.0|0
0|2021-12-07|50812.0|0|152188.0|0|161700.0|0|72501.0|0
