|dates|Butler_Alabama_UnitedStates.JHU_ConfirmedCases.data|Butler_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Butler_Alabama_UnitedStates.NYT_ConfirmedCases.data|Butler_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Butler_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Butler_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Butler_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Butler_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3248.0|0|3248.0|0|94.0|0|0.0|100
0|2021-10-18|3248.0|0|3248.0|0|94.0|0|0.0|100
0|2021-10-19|3250.0|0|3250.0|0|94.0|0|0.0|100
0|2021-10-20|3253.0|0|3253.0|0|96.0|0|0.0|100
0|2021-10-21|3256.0|0|3256.0|0|96.0|0|0.0|100
0|2021-10-22|3258.0|0|3258.0|0|96.0|0|0.0|100
0|2021-10-23|3263.0|0|3263.0|0|96.0|0|0.0|100
0|2021-10-24|3264.0|0|3264.0|0|96.0|0|0.0|100
0|2021-10-25|3267.0|0|3267.0|0|96.0|0|0.0|100
0|2021-10-26|3285.0|0|3285.0|0|96.0|0|0.0|100
0|2021-10-27|3335.0|0|3335.0|0|96.0|0|0.0|100
0|2021-10-28|3345.0|0|3345.0|0|97.0|0|0.0|100
0|2021-10-29|3346.0|0|3346.0|0|97.0|0|0.0|100
0|2021-10-30|3349.0|0|3349.0|0|96.0|0|0.0|100
0|2021-10-31|3351.0|0|3351.0|0|96.0|0|0.0|100
0|2021-11-01|3353.0|0|3353.0|0|96.0|0|0.0|100
0|2021-11-02|3365.0|0|3365.0|0|96.0|0|0.0|100
0|2021-11-03|3369.0|0|3369.0|0|96.0|0|0.0|100
0|2021-11-04|3374.0|0|3374.0|0|99.0|0|0.0|100
0|2021-11-05|3377.0|0|3377.0|0|99.0|0|0.0|100
0|2021-11-06|3377.0|0|3377.0|0|99.0|0|0.0|100
0|2021-11-07|3378.0|0|3378.0|0|99.0|0|0.0|100
0|2021-11-08|3377.0|0|3377.0|0|99.0|0|0.0|100
0|2021-11-09|3381.0|0|3381.0|0|99.0|0|0.0|100
0|2021-11-10|3381.0|0|3382.0|0|99.0|0|0.0|100
