|dates|Scott_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Scott_Illinois_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Scott_Illinois_UnitedStates.Male_Total_Population.data|Scott_Illinois_UnitedStates.Male_Total_Population.missing|Scott_Illinois_UnitedStates.Female_Total_Population.data|Scott_Illinois_UnitedStates.Female_Total_Population.missing|Scott_Illinois_UnitedStates.MaleAndFemale_Under18_Population.data|Scott_Illinois_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-10-18|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-10-19|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-10-20|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-10-21|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-10-22|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-10-23|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-10-24|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-10-25|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-10-26|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-10-27|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-10-28|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-10-29|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-10-30|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-10-31|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-01|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-02|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-03|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-04|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-05|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-06|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-07|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-08|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-09|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-10|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-11|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-12|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-13|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-14|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-15|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-16|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-17|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-18|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-19|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-20|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-21|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-22|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-23|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-24|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-25|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-26|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-27|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-28|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-29|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-11-30|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-01|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-02|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-03|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-04|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-05|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-06|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-07|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-08|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-09|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-10|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-11|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-12|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-13|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-14|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-15|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-16|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-17|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-18|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-19|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-20|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-21|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-22|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-23|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-24|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-25|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-26|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-27|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-28|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-29|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-30|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2021-12-31|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-01|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-02|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-03|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-04|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-05|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-06|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-07|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-08|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-09|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-10|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-11|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-12|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-13|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-14|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-15|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-16|979.0|0|2434.0|0|2492.0|0|1063.0|0
0|2022-01-17|979.0|0|2434.0|0|2492.0|0|1063.0|0
