|dates|Dauphin_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Dauphin_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Dauphin_Pennsylvania_UnitedStates.Male_Total_Population.data|Dauphin_Pennsylvania_UnitedStates.Male_Total_Population.missing|Dauphin_Pennsylvania_UnitedStates.Female_Total_Population.data|Dauphin_Pennsylvania_UnitedStates.Female_Total_Population.missing|Dauphin_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Dauphin_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-10-18|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-10-19|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-10-20|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-10-21|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-10-22|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-10-23|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-10-24|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-10-25|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-10-26|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-10-27|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-10-28|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-10-29|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-10-30|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-10-31|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-01|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-02|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-03|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-04|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-05|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-06|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-07|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-08|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-09|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-10|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-11|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-12|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-13|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-14|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-15|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-16|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-17|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-18|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-19|47002.0|0|134218.0|0|142879.0|0|62355.0|0
0|2021-11-20|47002.0|0|134218.0|0|142879.0|0|62355.0|0
