|dates|Madison_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Madison_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Madison_Nebraska_UnitedStates.Male_Total_Population.data|Madison_Nebraska_UnitedStates.Male_Total_Population.missing|Madison_Nebraska_UnitedStates.Female_Total_Population.data|Madison_Nebraska_UnitedStates.Female_Total_Population.missing|Madison_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Madison_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-10-18|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-10-19|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-10-20|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-10-21|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-10-22|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-10-23|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-10-24|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-10-25|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-10-26|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-10-27|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-10-28|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-10-29|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-10-30|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-10-31|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-01|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-02|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-03|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-04|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-05|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-06|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-07|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-08|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-09|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-10|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-11|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-12|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-13|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-14|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-15|5643.0|0|17509.0|0|17883.0|0|8969.0|0
0|2021-11-16|5643.0|0|17509.0|0|17883.0|0|8969.0|0
