|dates|Caroline_Maryland_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Caroline_Maryland_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Caroline_Maryland_UnitedStates.Male_Total_Population.data|Caroline_Maryland_UnitedStates.Male_Total_Population.missing|Caroline_Maryland_UnitedStates.Female_Total_Population.data|Caroline_Maryland_UnitedStates.Female_Total_Population.missing|Caroline_Maryland_UnitedStates.MaleAndFemale_Under18_Population.data|Caroline_Maryland_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-10-18|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-10-19|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-10-20|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-10-21|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-10-22|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-10-23|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-10-24|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-10-25|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-10-26|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-10-27|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-10-28|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-10-29|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-10-30|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-10-31|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-01|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-02|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-03|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-04|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-05|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-06|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-07|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-08|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-09|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-10|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-11|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-12|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-13|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-14|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-15|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-16|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-17|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-18|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-19|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-20|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-21|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-22|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-23|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-24|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-25|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-26|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-27|5410.0|0|16326.0|0|16978.0|0|7907.0|0
0|2021-11-28|5410.0|0|16326.0|0|16978.0|0|7907.0|0
