|dates|Kearny_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kearny_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kearny_Kansas_UnitedStates.Male_Total_Population.data|Kearny_Kansas_UnitedStates.Male_Total_Population.missing|Kearny_Kansas_UnitedStates.Female_Total_Population.data|Kearny_Kansas_UnitedStates.Female_Total_Population.missing|Kearny_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Kearny_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-10-18|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-10-19|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-10-20|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-10-21|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-10-22|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-10-23|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-10-24|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-10-25|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-10-26|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-10-27|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-10-28|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-10-29|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-10-30|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-10-31|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-01|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-02|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-03|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-04|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-05|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-06|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-07|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-08|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-09|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-10|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-11|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-12|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-13|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-14|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-15|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-16|612.0|0|1967.0|0|1976.0|0|1142.0|0
0|2021-11-17|612.0|0|1967.0|0|1976.0|0|1142.0|0
