|dates|Barton_Kansas_UnitedStates.JHU_ConfirmedCases.data|Barton_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Barton_Kansas_UnitedStates.NYT_ConfirmedCases.data|Barton_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Barton_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Barton_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Barton_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Barton_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3771.0|0|3771.0|0|56.0|0|0.0|100
0|2021-10-18|3791.0|0|3791.0|0|56.0|0|0.0|100
0|2021-10-19|3791.0|0|3791.0|0|56.0|0|0.0|100
0|2021-10-20|3810.0|0|3810.0|0|56.0|0|0.0|100
0|2021-10-21|3810.0|0|3810.0|0|56.0|0|0.0|100
0|2021-10-22|3844.0|0|3844.0|0|56.0|0|0.0|100
0|2021-10-23|3844.0|0|3844.0|0|56.0|0|0.0|100
0|2021-10-24|3844.0|0|3844.0|0|56.0|0|0.0|100
0|2021-10-25|3872.0|0|3872.0|0|57.0|0|0.0|100
0|2021-10-26|3872.0|0|3872.0|0|57.0|0|0.0|100
0|2021-10-27|3898.0|0|3898.0|0|58.0|0|0.0|100
0|2021-10-28|3898.0|0|3898.0|0|58.0|0|0.0|100
0|2021-10-29|3921.0|0|3921.0|0|58.0|0|0.0|100
0|2021-10-30|3921.0|0|3921.0|0|58.0|0|0.0|100
0|2021-10-31|3921.0|0|3921.0|0|58.0|0|0.0|100
0|2021-11-01|3945.0|0|3945.0|0|58.0|0|0.0|100
0|2021-11-02|3945.0|0|3945.0|0|58.0|0|0.0|100
0|2021-11-03|3974.0|0|3974.0|0|58.0|0|0.0|100
0|2021-11-04|3974.0|0|3974.0|0|58.0|0|0.0|100
0|2021-11-05|3996.0|0|3996.0|0|59.0|0|0.0|100
0|2021-11-06|3996.0|0|3996.0|0|59.0|0|0.0|100
0|2021-11-07|3996.0|0|3996.0|0|59.0|0|0.0|100
0|2021-11-08|4034.0|0|4034.0|0|60.0|0|0.0|100
0|2021-11-09|4034.0|0|4034.0|0|60.0|0|0.0|100
0|2021-11-10|4077.0|0|4077.0|0|62.0|0|0.0|100
0|2021-11-11|4077.0|0|4077.0|0|62.0|0|0.0|100
0|2021-11-12|4117.0|0|4117.0|0|62.0|0|0.0|100
0|2021-11-13|4117.0|0|4117.0|0|62.0|0|0.0|100
0|2021-11-14|4117.0|0|4117.0|0|62.0|0|0.0|100
0|2021-11-15|4143.0|0|4143.0|0|62.0|0|0.0|100
0|2021-11-16|4143.0|0|4143.0|0|62.0|0|0.0|100
0|2021-11-17|4189.0|0|4189.0|0|63.0|0|0.0|100
0|2021-11-18|4189.0|0|4189.0|0|63.0|0|0.0|100
0|2021-11-19|4214.0|0|4214.0|0|63.0|0|0.0|100
0|2021-11-20|4214.0|0|4214.0|0|63.0|0|0.0|100
0|2021-11-21|4214.0|0|4214.0|0|63.0|0|0.0|100
0|2021-11-22|4243.0|0|4243.0|0|63.0|0|0.0|100
