|dates|Lamb_Texas_UnitedStates.JHU_ConfirmedCases.data|Lamb_Texas_UnitedStates.JHU_ConfirmedCases.missing|Lamb_Texas_UnitedStates.NYT_ConfirmedCases.data|Lamb_Texas_UnitedStates.NYT_ConfirmedCases.missing|Lamb_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Lamb_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Lamb_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Lamb_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2948.0|0|2948.0|0|88.0|0|0.0|100
0|2021-10-18|2948.0|0|2948.0|0|88.0|0|0.0|100
0|2021-10-19|2958.0|0|2958.0|0|88.0|0|0.0|100
0|2021-10-20|2960.0|0|2960.0|0|88.0|0|0.0|100
0|2021-10-21|2963.0|0|2963.0|0|88.0|0|0.0|100
0|2021-10-22|2963.0|0|2963.0|0|88.0|0|0.0|100
0|2021-10-23|2972.0|0|2972.0|0|88.0|0|0.0|100
0|2021-10-24|2972.0|0|2972.0|0|88.0|0|0.0|100
0|2021-10-25|2972.0|0|2972.0|0|88.0|0|0.0|100
0|2021-10-26|2980.0|0|2980.0|0|88.0|0|0.0|100
0|2021-10-27|2981.0|0|2981.0|0|88.0|0|0.0|100
0|2021-10-28|2981.0|0|2981.0|0|88.0|0|0.0|100
0|2021-10-29|2989.0|0|2989.0|0|88.0|0|0.0|100
0|2021-10-30|2991.0|0|2991.0|0|88.0|0|0.0|100
0|2021-10-31|2991.0|0|2991.0|0|89.0|0|0.0|100
0|2021-11-01|2991.0|0|2991.0|0|89.0|0|0.0|100
0|2021-11-02|2993.0|0|2993.0|0|89.0|0|0.0|100
0|2021-11-03|2994.0|0|2994.0|0|89.0|0|0.0|100
0|2021-11-04|3000.0|0|3000.0|0|89.0|0|0.0|100
0|2021-11-05|3001.0|0|3001.0|0|89.0|0|0.0|100
0|2021-11-06|3003.0|0|3003.0|0|89.0|0|0.0|100
0|2021-11-07|3003.0|0|3003.0|0|89.0|0|0.0|100
