|dates|Unassigned_NewHampshire_UnitedStates.JHU_ConfirmedCases.data|Unassigned_NewHampshire_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_NewHampshire_UnitedStates.NYT_ConfirmedCases.data|Unassigned_NewHampshire_UnitedStates.NYT_ConfirmedCases.missing|Unassigned_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|889.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-18|867.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-19|894.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-20|889.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-21|892.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-22|717.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-23|717.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-24|717.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-25|717.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-26|717.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-27|653.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-28|653.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-29|653.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-30|653.0|0|0.0|100|1.0|0|0.0|100
0|2021-10-31|653.0|0|0.0|100|1.0|0|0.0|100
0|2021-11-01|4987.0|0|0.0|100|25.0|0|0.0|100
0|2021-11-02|775.0|0|0.0|100|2.0|0|0.0|100
0|2021-11-03|784.0|0|0.0|100|2.0|0|0.0|100
0|2021-11-04|790.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-05|804.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-06|804.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-07|804.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-08|816.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-09|844.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-10|837.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-11|837.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-12|904.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-13|904.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-14|904.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-15|960.0|0|0.0|100|4.0|0|0.0|100
0|2021-11-16|1005.0|0|0.0|100|5.0|0|0.0|100
0|2021-11-17|1025.0|0|0.0|100|6.0|0|0.0|100
0|2021-11-18|1052.0|0|0.0|100|6.0|0|0.0|100
