|dates|Ferry_Washington_UnitedStates.JHU_ConfirmedCases.data|Ferry_Washington_UnitedStates.JHU_ConfirmedCases.missing|Ferry_Washington_UnitedStates.NYT_ConfirmedCases.data|Ferry_Washington_UnitedStates.NYT_ConfirmedCases.missing|Ferry_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Ferry_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Ferry_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Ferry_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|752.0|0|752.0|0|13.0|0|0.0|100
0|2021-10-18|752.0|0|752.0|0|13.0|0|0.0|100
0|2021-10-19|781.0|0|781.0|0|14.0|0|0.0|100
0|2021-10-20|787.0|0|787.0|0|14.0|0|0.0|100
0|2021-10-21|798.0|0|798.0|0|14.0|0|0.0|100
0|2021-10-22|803.0|0|803.0|0|14.0|0|0.0|100
0|2021-10-23|803.0|0|803.0|0|14.0|0|0.0|100
0|2021-10-24|803.0|0|803.0|0|14.0|0|0.0|100
0|2021-10-25|809.0|0|809.0|0|14.0|0|0.0|100
0|2021-10-26|815.0|0|815.0|0|15.0|0|0.0|100
0|2021-10-27|825.0|0|825.0|0|15.0|0|0.0|100
0|2021-10-28|831.0|0|831.0|0|15.0|0|0.0|100
0|2021-10-29|839.0|0|839.0|0|15.0|0|0.0|100
0|2021-10-30|839.0|0|839.0|0|15.0|0|0.0|100
0|2021-10-31|839.0|0|839.0|0|15.0|0|0.0|100
0|2021-11-01|843.0|0|843.0|0|15.0|0|0.0|100
0|2021-11-02|845.0|0|845.0|0|15.0|0|0.0|100
0|2021-11-03|845.0|0|845.0|0|15.0|0|0.0|100
0|2021-11-04|850.0|0|850.0|0|15.0|0|0.0|100
0|2021-11-05|853.0|0|853.0|0|15.0|0|0.0|100
0|2021-11-06|853.0|0|853.0|0|15.0|0|0.0|100
0|2021-11-07|853.0|0|853.0|0|15.0|0|0.0|100
0|2021-11-08|857.0|0|857.0|0|15.0|0|0.0|100
0|2021-11-09|858.0|0|858.0|0|15.0|0|0.0|100
0|2021-11-10|858.0|0|859.0|0|15.0|0|0.0|100
0|2021-11-11|859.0|0|859.0|0|15.0|0|0.0|100
0|2021-11-12|861.0|0|861.0|0|15.0|0|0.0|100
0|2021-11-13|861.0|0|861.0|0|15.0|0|0.0|100
0|2021-11-14|861.0|0|861.0|0|15.0|0|0.0|100
0|2021-11-15|863.0|0|863.0|0|15.0|0|0.0|100
0|2021-11-16|863.0|0|863.0|0|15.0|0|0.0|100
0|2021-11-17|865.0|0|865.0|0|15.0|0|0.0|100
0|2021-11-18|866.0|0|866.0|0|15.0|0|0.0|100
0|2021-11-19|867.0|0|867.0|0|15.0|0|0.0|100
0|2021-11-20|867.0|0|867.0|0|15.0|0|0.0|100
0|2021-11-21|867.0|0|867.0|0|15.0|0|0.0|100
0|2021-11-22|866.0|0|866.0|0|16.0|0|0.0|100
0|2021-11-23|866.0|0|866.0|0|16.0|0|0.0|100
0|2021-11-24|869.0|0|869.0|0|17.0|0|0.0|100
0|2021-11-25|869.0|0|869.0|0|17.0|0|0.0|100
0|2021-11-26|869.0|0|869.0|0|17.0|0|0.0|100
0|2021-11-27|869.0|0|869.0|0|17.0|0|0.0|100
0|2021-11-28|869.0|0|869.0|0|17.0|0|0.0|100
0|2021-11-29|870.0|0|870.0|0|17.0|0|0.0|100
0|2021-11-30|870.0|0|870.0|0|17.0|0|0.0|100
0|2021-12-01|870.0|0|870.0|0|17.0|0|0.0|100
0|2021-12-02|871.0|0|871.0|0|17.0|0|0.0|100
0|2021-12-03|871.0|0|871.0|0|17.0|0|0.0|100
0|2021-12-04|871.0|0|871.0|0|17.0|0|0.0|100
0|2021-12-05|871.0|0|871.0|0|17.0|0|0.0|100
0|2021-12-06|872.0|0|872.0|0|17.0|0|0.0|100
0|2021-12-07|874.0|0|874.0|0|17.0|0|0.0|100
0|2021-12-08|879.0|0|879.0|0|17.0|0|0.0|100
0|2021-12-09|881.0|0|881.0|0|17.0|0|0.0|100
0|2021-12-10|884.0|0|884.0|0|18.0|0|0.0|100
0|2021-12-11|884.0|0|884.0|0|18.0|0|0.0|100
0|2021-12-12|884.0|0|884.0|0|18.0|0|0.0|100
0|2021-12-13|898.0|0|898.0|0|18.0|0|0.0|100
0|2021-12-14|898.0|0|899.0|0|18.0|0|0.0|100
0|2021-12-15|905.0|0|905.0|0|18.0|0|0.0|100
