|dates|Burke_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Burke_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Burke_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Burke_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Burke_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Burke_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Burke_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Burke_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15474.0|0|15474.0|0|213.0|0|0.0|100
0|2021-10-18|15538.0|0|15538.0|0|214.0|0|0.0|100
0|2021-10-19|15549.0|0|15549.0|0|214.0|0|0.0|100
0|2021-10-20|15575.0|0|15575.0|0|214.0|0|0.0|100
0|2021-10-21|15605.0|0|15605.0|0|216.0|0|0.0|100
0|2021-10-22|15629.0|0|15629.0|0|216.0|0|0.0|100
0|2021-10-23|15629.0|0|15629.0|0|216.0|0|0.0|100
0|2021-10-24|15629.0|0|15629.0|0|216.0|0|0.0|100
0|2021-10-25|15675.0|0|15675.0|0|234.0|0|0.0|100
0|2021-10-26|15683.0|0|15683.0|0|234.0|0|0.0|100
0|2021-10-27|15715.0|0|15715.0|0|237.0|0|0.0|100
0|2021-10-28|15737.0|0|15737.0|0|238.0|0|0.0|100
0|2021-10-29|15745.0|0|15745.0|0|239.0|0|0.0|100
0|2021-10-30|15745.0|0|15745.0|0|239.0|0|0.0|100
0|2021-10-31|15745.0|0|15745.0|0|239.0|0|0.0|100
0|2021-11-01|15775.0|0|15775.0|0|239.0|0|0.0|100
0|2021-11-02|15810.0|0|15810.0|0|239.0|0|0.0|100
0|2021-11-03|15841.0|0|15841.0|0|240.0|0|0.0|100
0|2021-11-04|15843.0|0|15843.0|0|239.0|0|0.0|100
0|2021-11-05|15864.0|0|15864.0|0|240.0|0|0.0|100
0|2021-11-06|15864.0|0|15864.0|0|240.0|0|0.0|100
0|2021-11-07|15864.0|0|15864.0|0|240.0|0|0.0|100
0|2021-11-08|15901.0|0|15901.0|0|240.0|0|0.0|100
0|2021-11-09|15915.0|0|15915.0|0|240.0|0|0.0|100
0|2021-11-10|15915.0|0|15923.0|0|240.0|0|0.0|100
0|2021-11-11|15923.0|0|15923.0|0|240.0|0|0.0|100
0|2021-11-12|15941.0|0|15941.0|0|240.0|0|0.0|100
0|2021-11-13|15941.0|0|15941.0|0|240.0|0|0.0|100
0|2021-11-14|15941.0|0|15941.0|0|240.0|0|0.0|100
0|2021-11-15|15981.0|0|15981.0|0|241.0|0|0.0|100
