|dates|Ulster_NewYork_UnitedStates.JHU_ConfirmedCases.data|Ulster_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Ulster_NewYork_UnitedStates.NYT_ConfirmedCases.data|Ulster_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Ulster_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Ulster_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Ulster_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Ulster_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|17179.0|0|17179.0|0|277.0|0|0.0|100
0|2021-10-18|17205.0|0|17205.0|0|278.0|0|0.0|100
0|2021-10-19|17224.0|0|17224.0|0|278.0|0|0.0|100
0|2021-10-20|17248.0|0|17248.0|0|278.0|0|0.0|100
0|2021-10-21|17273.0|0|17273.0|0|278.0|0|0.0|100
0|2021-10-22|17300.0|0|17300.0|0|280.0|0|0.0|100
0|2021-10-23|17327.0|0|17327.0|0|280.0|0|0.0|100
0|2021-10-24|17349.0|0|17349.0|0|280.0|0|0.0|100
0|2021-10-25|17373.0|0|17373.0|0|280.0|0|0.0|100
0|2021-10-26|17394.0|0|17394.0|0|282.0|0|0.0|100
0|2021-10-27|17421.0|0|17421.0|0|283.0|0|0.0|100
0|2021-10-28|17458.0|0|17458.0|0|283.0|0|0.0|100
0|2021-10-29|17499.0|0|17499.0|0|283.0|0|0.0|100
0|2021-10-30|17530.0|0|17530.0|0|284.0|0|0.0|100
0|2021-10-31|17557.0|0|17557.0|0|286.0|0|0.0|100
0|2021-11-01|17567.0|0|17567.0|0|286.0|0|0.0|100
0|2021-11-02|17591.0|0|17591.0|0|286.0|0|0.0|100
0|2021-11-03|17619.0|0|17619.0|0|286.0|0|0.0|100
0|2021-11-04|17655.0|0|17655.0|0|286.0|0|0.0|100
0|2021-11-05|17687.0|0|17687.0|0|286.0|0|0.0|100
0|2021-11-06|17728.0|0|17728.0|0|286.0|0|0.0|100
0|2021-11-07|17760.0|0|17760.0|0|286.0|0|0.0|100
0|2021-11-08|17785.0|0|17785.0|0|286.0|0|0.0|100
0|2021-11-09|17809.0|0|17809.0|0|286.0|0|0.0|100
0|2021-11-10|17853.0|0|17853.0|0|286.0|0|0.0|100
0|2021-11-11|17928.0|0|17928.0|0|287.0|0|0.0|100
0|2021-11-12|18016.0|0|18016.0|0|287.0|0|0.0|100
0|2021-11-13|18074.0|0|18074.0|0|287.0|0|0.0|100
0|2021-11-14|18114.0|0|18114.0|0|287.0|0|0.0|100
0|2021-11-15|18156.0|0|18156.0|0|287.0|0|0.0|100
0|2021-11-16|18200.0|0|18200.0|0|287.0|0|0.0|100
0|2021-11-17|18250.0|0|18250.0|0|287.0|0|0.0|100
0|2021-11-18|18320.0|0|18320.0|0|287.0|0|0.0|100
0|2021-11-19|18403.0|0|18403.0|0|287.0|0|0.0|100
0|2021-11-20|18463.0|0|18463.0|0|287.0|0|0.0|100
0|2021-11-21|18523.0|0|18523.0|0|287.0|0|0.0|100
0|2021-11-22|18592.0|0|18592.0|0|287.0|0|0.0|100
