|dates|Aurora_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Aurora_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Aurora_SouthDakota_UnitedStates.Male_Total_Population.data|Aurora_SouthDakota_UnitedStates.Male_Total_Population.missing|Aurora_SouthDakota_UnitedStates.Female_Total_Population.data|Aurora_SouthDakota_UnitedStates.Female_Total_Population.missing|Aurora_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Aurora_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-10-18|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-10-19|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-10-20|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-10-21|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-10-22|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-10-23|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-10-24|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-10-25|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-10-26|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-10-27|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-10-28|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-10-29|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-10-30|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-10-31|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-01|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-02|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-03|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-04|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-05|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-06|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-07|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-08|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-09|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-10|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-11|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-12|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-13|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-14|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-15|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-16|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-17|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-18|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-19|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-20|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-21|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-22|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-23|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-24|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-25|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-26|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-27|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-28|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-29|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-11-30|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-01|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-02|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-03|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-04|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-05|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-06|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-07|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-08|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-09|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-10|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-11|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-12|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-13|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-14|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-15|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-16|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-17|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-18|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-19|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-20|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-21|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-22|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-23|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-24|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-25|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-26|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-27|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-28|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-29|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-30|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2021-12-31|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-01|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-02|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-03|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-04|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-05|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-06|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-07|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-08|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-09|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-10|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-11|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-12|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-13|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-14|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-15|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-16|577.0|0|1490.0|0|1311.0|0|695.0|0
0|2022-01-17|577.0|0|1490.0|0|1311.0|0|695.0|0
