|dates|Columbia_Washington_UnitedStates.JHU_ConfirmedCases.data|Columbia_Washington_UnitedStates.JHU_ConfirmedCases.missing|Columbia_Washington_UnitedStates.NYT_ConfirmedCases.data|Columbia_Washington_UnitedStates.NYT_ConfirmedCases.missing|Columbia_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Columbia_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Columbia_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Columbia_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|352.0|0|352.0|0|8.0|0|0.0|100
0|2021-10-18|352.0|0|352.0|0|8.0|0|0.0|100
0|2021-10-19|357.0|0|357.0|0|8.0|0|0.0|100
0|2021-10-20|358.0|0|358.0|0|8.0|0|0.0|100
0|2021-10-21|359.0|0|359.0|0|8.0|0|0.0|100
0|2021-10-22|363.0|0|363.0|0|8.0|0|0.0|100
0|2021-10-23|363.0|0|363.0|0|8.0|0|0.0|100
0|2021-10-24|363.0|0|363.0|0|8.0|0|0.0|100
0|2021-10-25|364.0|0|364.0|0|8.0|0|0.0|100
0|2021-10-26|365.0|0|365.0|0|8.0|0|0.0|100
0|2021-10-27|366.0|0|366.0|0|8.0|0|0.0|100
0|2021-10-28|366.0|0|366.0|0|8.0|0|0.0|100
0|2021-10-29|366.0|0|366.0|0|8.0|0|0.0|100
0|2021-10-30|366.0|0|366.0|0|8.0|0|0.0|100
0|2021-10-31|366.0|0|366.0|0|8.0|0|0.0|100
0|2021-11-01|366.0|0|366.0|0|8.0|0|0.0|100
0|2021-11-02|367.0|0|367.0|0|8.0|0|0.0|100
0|2021-11-03|367.0|0|367.0|0|8.0|0|0.0|100
0|2021-11-04|367.0|0|367.0|0|8.0|0|0.0|100
0|2021-11-05|367.0|0|367.0|0|8.0|0|0.0|100
0|2021-11-06|367.0|0|367.0|0|8.0|0|0.0|100
0|2021-11-07|367.0|0|367.0|0|8.0|0|0.0|100
0|2021-11-08|368.0|0|368.0|0|8.0|0|0.0|100
0|2021-11-09|370.0|0|370.0|0|8.0|0|0.0|100
0|2021-11-10|370.0|0|370.0|0|8.0|0|0.0|100
0|2021-11-11|370.0|0|370.0|0|8.0|0|0.0|100
0|2021-11-12|371.0|0|371.0|0|8.0|0|0.0|100
0|2021-11-13|371.0|0|371.0|0|8.0|0|0.0|100
0|2021-11-14|371.0|0|371.0|0|8.0|0|0.0|100
0|2021-11-15|373.0|0|373.0|0|8.0|0|0.0|100
0|2021-11-16|382.0|0|382.0|0|9.0|0|0.0|100
0|2021-11-17|381.0|0|381.0|0|9.0|0|0.0|100
0|2021-11-18|381.0|0|381.0|0|9.0|0|0.0|100
0|2021-11-19|381.0|0|381.0|0|9.0|0|0.0|100
0|2021-11-20|381.0|0|381.0|0|9.0|0|0.0|100
0|2021-11-21|381.0|0|381.0|0|9.0|0|0.0|100
0|2021-11-22|382.0|0|382.0|0|9.0|0|0.0|100
0|2021-11-23|383.0|0|383.0|0|9.0|0|0.0|100
