|dates|Lynn_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Lynn_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Lynn_Texas_UnitedStates.Male_Total_Population.data|Lynn_Texas_UnitedStates.Male_Total_Population.missing|Lynn_Texas_UnitedStates.Female_Total_Population.data|Lynn_Texas_UnitedStates.Female_Total_Population.missing|Lynn_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Lynn_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-10-18|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-10-19|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-10-20|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-10-21|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-10-22|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-10-23|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-10-24|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-10-25|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-10-26|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-10-27|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-10-28|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-10-29|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-10-30|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-10-31|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-01|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-02|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-03|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-04|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-05|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-06|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-07|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-08|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-09|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-10|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-11|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-12|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-13|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-14|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-15|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-16|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-17|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-18|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-19|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-20|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-21|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-22|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-23|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-24|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-25|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-26|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-27|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-28|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-29|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-11-30|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-01|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-02|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-03|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-04|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-05|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-06|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-07|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-08|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-09|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-10|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-11|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-12|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-13|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-14|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-15|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-16|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-17|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-18|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-19|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-20|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-21|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-22|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-23|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-24|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-25|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-26|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-27|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-28|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-29|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-30|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2021-12-31|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-01|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-02|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-03|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-04|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-05|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-06|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-07|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-08|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-09|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-10|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-11|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-12|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-13|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-14|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-15|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-16|990.0|0|2997.0|0|2880.0|0|1574.0|0
0|2022-01-17|990.0|0|2997.0|0|2880.0|0|1574.0|0
