|dates|Northampton_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Northampton_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Northampton_Pennsylvania_UnitedStates.NYT_ConfirmedDeaths.data|Northampton_Pennsylvania_UnitedStates.NYT_ConfirmedDeaths.missing|Northampton_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Northampton_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Northampton_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Northampton_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|778.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|779.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|781.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|783.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|783.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|786.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|790.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|790.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|790.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|790.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|793.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|794.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|794.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|794.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|795.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|795.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|795.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|798.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|798.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|801.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|801.0|0|0.0|100|0.0|100
