|dates|Bonneville_Idaho_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bonneville_Idaho_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bonneville_Idaho_UnitedStates.Male_Total_Population.data|Bonneville_Idaho_UnitedStates.Male_Total_Population.missing|Bonneville_Idaho_UnitedStates.Female_Total_Population.data|Bonneville_Idaho_UnitedStates.Female_Total_Population.missing|Bonneville_Idaho_UnitedStates.MaleAndFemale_Under18_Population.data|Bonneville_Idaho_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-10-18|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-10-19|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-10-20|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-10-21|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-10-22|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-10-23|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-10-24|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-10-25|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-10-26|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-10-27|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-10-28|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-10-29|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-10-30|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-10-31|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-11-01|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-11-02|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-11-03|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-11-04|15543.0|0|58375.0|0|58479.0|0|35940.0|0
0|2021-11-05|15543.0|0|58375.0|0|58479.0|0|35940.0|0
