|dates|GrandForks_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|GrandForks_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|GrandForks_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|GrandForks_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|GrandForks_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|GrandForks_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|GrandForks_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|GrandForks_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12658.0|0|12658.0|0|84.0|0|0.0|100
0|2021-10-18|12669.0|0|12669.0|0|84.0|0|0.0|100
0|2021-10-19|12713.0|0|12713.0|0|84.0|0|0.0|100
0|2021-10-20|12753.0|0|12753.0|0|85.0|0|0.0|100
0|2021-10-21|12776.0|0|12776.0|0|86.0|0|0.0|100
0|2021-10-22|12807.0|0|12807.0|0|86.0|0|0.0|100
0|2021-10-23|12839.0|0|12839.0|0|86.0|0|0.0|100
0|2021-10-24|12844.0|0|12844.0|0|86.0|0|0.0|100
0|2021-10-25|12856.0|0|12856.0|0|86.0|0|0.0|100
0|2021-10-26|12893.0|0|12893.0|0|86.0|0|0.0|100
0|2021-10-27|12919.0|0|12919.0|0|88.0|0|0.0|100
0|2021-10-28|12942.0|0|12942.0|0|88.0|0|0.0|100
0|2021-10-29|12972.0|0|12972.0|0|88.0|0|0.0|100
0|2021-10-30|13006.0|0|13006.0|0|88.0|0|0.0|100
0|2021-10-31|13016.0|0|13016.0|0|88.0|0|0.0|100
0|2021-11-01|13033.0|0|13033.0|0|88.0|0|0.0|100
0|2021-11-02|13086.0|0|13086.0|0|89.0|0|0.0|100
0|2021-11-03|13121.0|0|13121.0|0|89.0|0|0.0|100
0|2021-11-04|13173.0|0|13173.0|0|89.0|0|0.0|100
0|2021-11-05|13216.0|0|13216.0|0|89.0|0|0.0|100
0|2021-11-06|13254.0|0|13254.0|0|90.0|0|0.0|100
0|2021-11-07|13260.0|0|13260.0|0|90.0|0|0.0|100
0|2021-11-08|13273.0|0|13273.0|0|90.0|0|0.0|100
0|2021-11-09|13345.0|0|13345.0|0|90.0|0|0.0|100
0|2021-11-10|13388.0|0|13388.0|0|92.0|0|0.0|100
0|2021-11-11|13434.0|0|13434.0|0|92.0|0|0.0|100
0|2021-11-12|13468.0|0|13468.0|0|92.0|0|0.0|100
0|2021-11-13|13510.0|0|13510.0|0|93.0|0|0.0|100
0|2021-11-14|13524.0|0|13524.0|0|93.0|0|0.0|100
0|2021-11-15|13540.0|0|13540.0|0|93.0|0|0.0|100
0|2021-11-16|13600.0|0|13600.0|0|93.0|0|0.0|100
0|2021-11-17|13651.0|0|13651.0|0|93.0|0|0.0|100
0|2021-11-18|13682.0|0|13682.0|0|94.0|0|0.0|100
