|dates|Hudson_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hudson_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hudson_NewJersey_UnitedStates.Male_Total_Population.data|Hudson_NewJersey_UnitedStates.Male_Total_Population.missing|Hudson_NewJersey_UnitedStates.Female_Total_Population.data|Hudson_NewJersey_UnitedStates.Female_Total_Population.missing|Hudson_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.data|Hudson_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-10-18|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-10-19|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-10-20|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-10-21|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-10-22|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-10-23|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-10-24|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-10-25|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-10-26|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-10-27|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-10-28|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-10-29|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-10-30|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-10-31|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-01|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-02|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-03|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-04|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-05|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-06|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-07|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-08|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-09|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-10|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-11|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-12|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-13|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-14|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-15|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-16|79920.0|0|336666.0|0|339395.0|0|138221.0|0
0|2021-11-17|79920.0|0|336666.0|0|339395.0|0|138221.0|0
