|dates|Concho_Texas_UnitedStates.BLS_EmployedPopulation.data|Concho_Texas_UnitedStates.BLS_EmployedPopulation.missing|Concho_Texas_UnitedStates.BLS_UnemployedPopulation.data|Concho_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Concho_Texas_UnitedStates.BLS_UnemploymentRate.data|Concho_Texas_UnitedStates.BLS_UnemploymentRate.missing|Concho_Texas_UnitedStates.BLS_LaborForcePopulation.data|Concho_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-10-18|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-10-19|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-10-20|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-10-21|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-10-22|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-10-23|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-10-24|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-10-25|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-10-26|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-10-27|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-10-28|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-10-29|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-10-30|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-10-31|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-01|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-02|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-03|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-04|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-05|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-06|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-07|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-08|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-09|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-10|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-11|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-12|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-13|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-14|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-15|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-16|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-17|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-18|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-19|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-20|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-21|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-22|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
0|2021-11-23|1271.0|0|59.0|0|4.43609022556391|0|1330.0|0
