|dates|McCone_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|McCone_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|McCone_Montana_UnitedStates.Male_Total_Population.data|McCone_Montana_UnitedStates.Male_Total_Population.missing|McCone_Montana_UnitedStates.Female_Total_Population.data|McCone_Montana_UnitedStates.Female_Total_Population.missing|McCone_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|McCone_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-10-18|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-10-19|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-10-20|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-10-21|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-10-22|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-10-23|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-10-24|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-10-25|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-10-26|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-10-27|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-10-28|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-10-29|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-10-30|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-10-31|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-01|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-02|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-03|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-04|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-05|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-06|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-07|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-08|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-09|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-10|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-11|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-12|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-13|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-14|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-15|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-16|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-17|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-18|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-19|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-20|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-21|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-22|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-23|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-24|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-25|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-26|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-27|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-28|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-29|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-11-30|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-01|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-02|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-03|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-04|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-05|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-06|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-07|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-08|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-09|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-10|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-11|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-12|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-13|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-14|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-15|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-16|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-17|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-18|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-19|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-20|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-21|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-22|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-23|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-24|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-25|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-26|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-27|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-28|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-29|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-30|438.0|0|860.0|0|815.0|0|339.0|0
0|2021-12-31|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-01|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-02|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-03|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-04|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-05|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-06|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-07|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-08|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-09|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-10|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-11|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-12|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-13|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-14|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-15|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-16|438.0|0|860.0|0|815.0|0|339.0|0
0|2022-01-17|438.0|0|860.0|0|815.0|0|339.0|0
