|dates|Marshall_Kansas_UnitedStates.JHU_ConfirmedCases.data|Marshall_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Marshall_Kansas_UnitedStates.NYT_ConfirmedCases.data|Marshall_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Marshall_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Marshall_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Marshall_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Marshall_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1425.0|0|1425.0|0|28.0|0|0.0|100
0|2021-10-18|1430.0|0|1430.0|0|28.0|0|0.0|100
0|2021-10-19|1430.0|0|1430.0|0|28.0|0|0.0|100
0|2021-10-20|1436.0|0|1436.0|0|28.0|0|0.0|100
0|2021-10-21|1436.0|0|1436.0|0|28.0|0|0.0|100
0|2021-10-22|1442.0|0|1442.0|0|28.0|0|0.0|100
0|2021-10-23|1442.0|0|1442.0|0|28.0|0|0.0|100
0|2021-10-24|1442.0|0|1442.0|0|28.0|0|0.0|100
0|2021-10-25|1451.0|0|1451.0|0|28.0|0|0.0|100
0|2021-10-26|1451.0|0|1451.0|0|28.0|0|0.0|100
0|2021-10-27|1453.0|0|1453.0|0|30.0|0|0.0|100
0|2021-10-28|1453.0|0|1453.0|0|30.0|0|0.0|100
0|2021-10-29|1463.0|0|1463.0|0|30.0|0|0.0|100
0|2021-10-30|1463.0|0|1463.0|0|30.0|0|0.0|100
0|2021-10-31|1463.0|0|1463.0|0|30.0|0|0.0|100
0|2021-11-01|1466.0|0|1466.0|0|30.0|0|0.0|100
0|2021-11-02|1466.0|0|1466.0|0|30.0|0|0.0|100
0|2021-11-03|1495.0|0|1495.0|0|31.0|0|0.0|100
0|2021-11-04|1495.0|0|1495.0|0|31.0|0|0.0|100
0|2021-11-05|1517.0|0|1517.0|0|31.0|0|0.0|100
0|2021-11-06|1517.0|0|1517.0|0|31.0|0|0.0|100
0|2021-11-07|1517.0|0|1517.0|0|31.0|0|0.0|100
0|2021-11-08|1529.0|0|1529.0|0|31.0|0|0.0|100
0|2021-11-09|1529.0|0|1529.0|0|31.0|0|0.0|100
0|2021-11-10|1529.0|0|1557.0|0|31.0|0|0.0|100
0|2021-11-11|1557.0|0|1557.0|0|32.0|0|0.0|100
0|2021-11-12|1574.0|0|1574.0|0|32.0|0|0.0|100
0|2021-11-13|1574.0|0|1574.0|0|32.0|0|0.0|100
0|2021-11-14|1574.0|0|1574.0|0|32.0|0|0.0|100
0|2021-11-15|1592.0|0|1592.0|0|32.0|0|0.0|100
0|2021-11-16|1592.0|0|1592.0|0|32.0|0|0.0|100
0|2021-11-17|1621.0|0|1621.0|0|32.0|0|0.0|100
0|2021-11-18|1621.0|0|1621.0|0|32.0|0|0.0|100
0|2021-11-19|1636.0|0|1636.0|0|32.0|0|0.0|100
0|2021-11-20|1636.0|0|1636.0|0|32.0|0|0.0|100
0|2021-11-21|1636.0|0|1636.0|0|32.0|0|0.0|100
