|dates|Coconino_Arizona_UnitedStates.JHU_ConfirmedCases.data|Coconino_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Coconino_Arizona_UnitedStates.NYT_ConfirmedCases.data|Coconino_Arizona_UnitedStates.NYT_ConfirmedCases.missing|Coconino_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Coconino_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Coconino_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Coconino_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|22268.0|0|22268.0|0|353.0|0|0.0|100
0|2021-10-18|22268.0|0|22268.0|0|353.0|0|0.0|100
0|2021-10-19|22444.0|0|22444.0|0|357.0|0|0.0|100
0|2021-10-20|22508.0|0|22508.0|0|358.0|0|0.0|100
0|2021-10-21|22577.0|0|22577.0|0|358.0|0|0.0|100
0|2021-10-22|22674.0|0|22674.0|0|358.0|0|0.0|100
0|2021-10-23|22771.0|0|22771.0|0|358.0|0|0.0|100
0|2021-10-24|22773.0|0|22773.0|0|358.0|0|0.0|100
0|2021-10-25|22775.0|0|22775.0|0|358.0|0|0.0|100
0|2021-10-26|22782.0|0|22782.0|0|360.0|0|0.0|100
0|2021-10-27|23026.0|0|23026.0|0|361.0|0|0.0|100
0|2021-10-28|23091.0|0|23091.0|0|360.0|0|0.0|100
0|2021-10-29|23206.0|0|23206.0|0|361.0|0|0.0|100
0|2021-10-30|23260.0|0|23260.0|0|362.0|0|0.0|100
0|2021-10-31|23335.0|0|23335.0|0|362.0|0|0.0|100
0|2021-11-01|23391.0|0|23391.0|0|362.0|0|0.0|100
0|2021-11-02|23420.0|0|23420.0|0|361.0|0|0.0|100
0|2021-11-03|23489.0|0|23489.0|0|365.0|0|0.0|100
0|2021-11-04|23533.0|0|23533.0|0|365.0|0|0.0|100
0|2021-11-05|23609.0|0|23609.0|0|367.0|0|0.0|100
0|2021-11-06|23667.0|0|23667.0|0|369.0|0|0.0|100
0|2021-11-07|23720.0|0|23720.0|0|369.0|0|0.0|100
0|2021-11-08|23774.0|0|23774.0|0|369.0|0|0.0|100
0|2021-11-09|23920.0|0|23920.0|0|371.0|0|0.0|100
0|2021-11-10|24003.0|0|24003.0|0|371.0|0|0.0|100
0|2021-11-11|24088.0|0|24088.0|0|371.0|0|0.0|100
0|2021-11-12|24130.0|0|24130.0|0|372.0|0|0.0|100
0|2021-11-13|24300.0|0|24300.0|0|373.0|0|0.0|100
0|2021-11-14|24367.0|0|24367.0|0|373.0|0|0.0|100
0|2021-11-15|24417.0|0|24417.0|0|373.0|0|0.0|100
0|2021-11-16|24478.0|0|24478.0|0|374.0|0|0.0|100
0|2021-11-17|24547.0|0|24547.0|0|375.0|0|0.0|100
0|2021-11-18|24617.0|0|24617.0|0|375.0|0|0.0|100
0|2021-11-19|24727.0|0|24727.0|0|376.0|0|0.0|100
0|2021-11-20|24840.0|0|24840.0|0|378.0|0|0.0|100
0|2021-11-21|24901.0|0|24901.0|0|379.0|0|0.0|100
0|2021-11-22|24970.0|0|24970.0|0|379.0|0|0.0|100
0|2021-11-23|25010.0|0|25010.0|0|380.0|0|0.0|100
0|2021-11-24|25077.0|0|25077.0|0|382.0|0|0.0|100
0|2021-11-25|25136.0|0|25136.0|0|383.0|0|0.0|100
0|2021-11-26|25129.0|0|25129.0|0|383.0|0|0.0|100
0|2021-11-27|25216.0|0|25216.0|0|383.0|0|0.0|100
0|2021-11-28|25268.0|0|25268.0|0|383.0|0|0.0|100
0|2021-11-29|25300.0|0|25300.0|0|383.0|0|0.0|100
0|2021-11-30|25351.0|0|25351.0|0|384.0|0|0.0|100
0|2021-12-01|25395.0|0|25395.0|0|385.0|0|0.0|100
0|2021-12-02|25463.0|0|25463.0|0|386.0|0|0.0|100
0|2021-12-03|25584.0|0|25584.0|0|386.0|0|0.0|100
0|2021-12-04|25783.0|0|25783.0|0|390.0|0|0.0|100
0|2021-12-05|25877.0|0|25877.0|0|390.0|0|0.0|100
0|2021-12-06|25949.0|0|25949.0|0|390.0|0|0.0|100
0|2021-12-07|26000.0|0|26000.0|0|393.0|0|0.0|100
0|2021-12-08|26020.0|0|26020.0|0|393.0|0|0.0|100
0|2021-12-09|26092.0|0|26092.0|0|393.0|0|0.0|100
0|2021-12-10|26167.0|0|26167.0|0|394.0|0|0.0|100
0|2021-12-11|26235.0|0|26235.0|0|394.0|0|0.0|100
0|2021-12-12|26321.0|0|26321.0|0|394.0|0|0.0|100
0|2021-12-13|26321.0|0|26353.0|0|394.0|0|0.0|100
0|2021-12-14|26321.0|0|26387.0|0|394.0|0|0.0|100
0|2021-12-15|26420.0|0|26420.0|0|401.0|0|0.0|100
0|2021-12-16|26480.0|0|26480.0|0|400.0|0|0.0|100
0|2021-12-17|26551.0|0|26551.0|0|404.0|0|0.0|100
0|2021-12-18|26551.0|0|26596.0|0|404.0|0|0.0|100
0|2021-12-19|26684.0|0|26684.0|0|404.0|0|0.0|100
0|2021-12-20|26750.0|0|26750.0|0|404.0|0|0.0|100
0|2021-12-21|26808.0|0|26808.0|0|405.0|0|0.0|100
0|2021-12-22|26862.0|0|26862.0|0|407.0|0|0.0|100
0|2021-12-23|26958.0|0|26958.0|0|408.0|0|0.0|100
0|2021-12-24|27108.0|0|27108.0|0|411.0|0|0.0|100
0|2021-12-25|27108.0|0|27131.0|0|411.0|0|0.0|100
0|2021-12-26|27131.0|0|27131.0|0|412.0|0|0.0|100
0|2021-12-27|27453.0|0|27453.0|0|412.0|0|0.0|100
0|2021-12-28|27453.0|0|27472.0|0|412.0|0|0.0|100
0|2021-12-29|27472.0|0|27568.0|0|416.0|0|0.0|100
0|2021-12-30|27568.0|0|27717.0|0|416.0|0|0.0|100
0|2021-12-31|28085.0|0|28085.0|0|416.0|0|0.0|100
0|2022-01-01|28256.0|0|28256.0|0|416.0|0|0.0|100
0|2022-01-02|28255.0|0|28255.0|0|416.0|0|0.0|100
0|2022-01-03|28731.0|0|28731.0|0|416.0|0|0.0|100
0|2022-01-04|28924.0|0|28924.0|0|418.0|0|0.0|100
0|2022-01-05|29116.0|0|29116.0|0|420.0|0|0.0|100
0|2022-01-06|29386.0|0|29386.0|0|420.0|0|0.0|100
0|2022-01-07|29888.0|0|29888.0|0|420.0|0|0.0|100
0|2022-01-08|30294.0|0|30294.0|0|421.0|0|0.0|100
0|2022-01-09|30294.0|0|30807.0|0|421.0|0|0.0|100
0|2022-01-10|30954.0|0|30954.0|0|421.0|0|0.0|100
0|2022-01-11|31240.0|0|31240.0|0|422.0|0|0.0|100
0|2022-01-12|31885.0|0|31885.0|0|423.0|0|0.0|100
0|2022-01-13|31885.0|0|32490.0|0|423.0|0|0.0|100
0|2022-01-14|33319.0|0|33319.0|0|426.0|0|0.0|100
0|2022-01-15|33319.0|0|33873.0|0|426.0|0|0.0|100
0|2022-01-16|33371.0|0|34387.0|0|426.0|0|0.0|100
0|2022-01-17|34969.0|0|0.0|100|426.0|0|0.0|100
