|dates|Aroostook_Maine_UnitedStates.JHU_ConfirmedCases.data|Aroostook_Maine_UnitedStates.JHU_ConfirmedCases.missing|Aroostook_Maine_UnitedStates.NYT_ConfirmedCases.data|Aroostook_Maine_UnitedStates.NYT_ConfirmedCases.missing|Aroostook_Maine_UnitedStates.JHU_ConfirmedDeaths.data|Aroostook_Maine_UnitedStates.JHU_ConfirmedDeaths.missing|Aroostook_Maine_UnitedStates.JHU_ConfirmedRecoveries.data|Aroostook_Maine_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3653.0|0|3653.0|0|79.0|0|0.0|100
0|2021-10-18|3653.0|0|3653.0|0|79.0|0|0.0|100
0|2021-10-19|3696.0|0|3696.0|0|79.0|0|0.0|100
0|2021-10-20|3736.0|0|3736.0|0|79.0|0|0.0|100
0|2021-10-21|3751.0|0|3751.0|0|79.0|0|0.0|100
0|2021-10-22|3792.0|0|3792.0|0|79.0|0|0.0|100
0|2021-10-23|3818.0|0|3818.0|0|79.0|0|0.0|100
0|2021-10-24|3818.0|0|3818.0|0|79.0|0|0.0|100
0|2021-10-25|3818.0|0|3818.0|0|79.0|0|0.0|100
0|2021-10-26|3854.0|0|3854.0|0|79.0|0|0.0|100
0|2021-10-27|3940.0|0|3940.0|0|79.0|0|0.0|100
0|2021-10-28|3958.0|0|3958.0|0|79.0|0|0.0|100
0|2021-10-29|3999.0|0|3999.0|0|79.0|0|0.0|100
0|2021-10-30|4016.0|0|4016.0|0|79.0|0|0.0|100
0|2021-10-31|4016.0|0|4016.0|0|79.0|0|0.0|100
0|2021-11-01|4016.0|0|4016.0|0|79.0|0|0.0|100
0|2021-11-02|4079.0|0|4079.0|0|80.0|0|0.0|100
0|2021-11-03|4133.0|0|4133.0|0|81.0|0|0.0|100
0|2021-11-04|4159.0|0|4159.0|0|81.0|0|0.0|100
0|2021-11-05|4185.0|0|4185.0|0|82.0|0|0.0|100
0|2021-11-06|4224.0|0|4224.0|0|82.0|0|0.0|100
0|2021-11-07|4224.0|0|4224.0|0|82.0|0|0.0|100
0|2021-11-08|4224.0|0|4224.0|0|82.0|0|0.0|100
0|2021-11-09|4282.0|0|4282.0|0|83.0|0|0.0|100
0|2021-11-10|4282.0|0|4337.0|0|83.0|0|0.0|100
0|2021-11-11|4372.0|0|4372.0|0|83.0|0|0.0|100
0|2021-11-12|4372.0|0|4372.0|0|83.0|0|0.0|100
0|2021-11-13|4386.0|0|4386.0|0|84.0|0|0.0|100
0|2021-11-14|4386.0|0|4386.0|0|84.0|0|0.0|100
0|2021-11-15|4386.0|0|4386.0|0|84.0|0|0.0|100
0|2021-11-16|4445.0|0|4445.0|0|84.0|0|0.0|100
0|2021-11-17|4599.0|0|4599.0|0|84.0|0|0.0|100
0|2021-11-18|4677.0|0|4677.0|0|85.0|0|0.0|100
0|2021-11-19|4759.0|0|4759.0|0|85.0|0|0.0|100
0|2021-11-20|4869.0|0|4869.0|0|85.0|0|0.0|100
0|2021-11-21|4869.0|0|4869.0|0|85.0|0|0.0|100
0|2021-11-22|4871.0|0|4871.0|0|85.0|0|0.0|100
0|2021-11-23|4943.0|0|4943.0|0|88.0|0|0.0|100
0|2021-11-24|5052.0|0|5052.0|0|88.0|0|0.0|100
0|2021-11-25|5106.0|0|5106.0|0|88.0|0|0.0|100
0|2021-11-26|5106.0|0|5106.0|0|88.0|0|0.0|100
0|2021-11-27|5106.0|0|5106.0|0|88.0|0|0.0|100
0|2021-11-28|5106.0|0|5106.0|0|88.0|0|0.0|100
0|2021-11-29|5122.0|0|5122.0|0|88.0|0|0.0|100
0|2021-11-30|5235.0|0|5235.0|0|88.0|0|0.0|100
0|2021-12-01|5360.0|0|5360.0|0|88.0|0|0.0|100
0|2021-12-02|5360.0|0|5477.0|0|88.0|0|0.0|100
0|2021-12-03|5554.0|0|5554.0|0|88.0|0|0.0|100
