|dates|Piute_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Piute_Utah_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Piute_Utah_UnitedStates.Male_Total_Population.data|Piute_Utah_UnitedStates.Male_Total_Population.missing|Piute_Utah_UnitedStates.Female_Total_Population.data|Piute_Utah_UnitedStates.Female_Total_Population.missing|Piute_Utah_UnitedStates.MaleAndFemale_Under18_Population.data|Piute_Utah_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-10-18|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-10-19|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-10-20|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-10-21|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-10-22|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-10-23|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-10-24|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-10-25|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-10-26|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-10-27|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-10-28|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-10-29|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-10-30|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-10-31|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-01|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-02|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-03|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-04|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-05|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-06|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-07|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-08|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-09|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-10|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-11|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-12|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-13|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-14|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-15|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-16|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-17|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-18|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-19|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-20|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-21|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-22|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-23|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-24|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-25|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-26|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-27|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-28|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-29|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-11-30|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-01|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-02|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-03|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-04|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-05|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-06|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-07|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-08|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-09|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-10|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-11|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-12|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-13|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-14|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-15|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-16|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-17|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-18|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-19|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-20|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-21|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-22|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-23|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-24|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-25|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-26|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-27|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-28|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-29|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-30|417.0|0|746.0|0|699.0|0|331.0|0
0|2021-12-31|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-01|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-02|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-03|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-04|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-05|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-06|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-07|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-08|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-09|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-10|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-11|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-12|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-13|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-14|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-15|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-16|417.0|0|746.0|0|699.0|0|331.0|0
0|2022-01-17|417.0|0|746.0|0|699.0|0|331.0|0
