|dates|Brown_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Brown_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Brown_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Brown_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Brown_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Brown_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Brown_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Brown_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3988.0|0|3988.0|0|46.0|0|0.0|100
0|2021-10-18|4009.0|0|4009.0|0|47.0|0|0.0|100
0|2021-10-19|4053.0|0|4053.0|0|47.0|0|0.0|100
0|2021-10-20|4078.0|0|4078.0|0|47.0|0|0.0|100
0|2021-10-21|4099.0|0|4099.0|0|47.0|0|0.0|100
0|2021-10-22|4115.0|0|4115.0|0|47.0|0|0.0|100
0|2021-10-23|4115.0|0|4115.0|0|47.0|0|0.0|100
0|2021-10-24|4115.0|0|4115.0|0|47.0|0|0.0|100
0|2021-10-25|4130.0|0|4130.0|0|47.0|0|0.0|100
0|2021-10-26|4163.0|0|4163.0|0|47.0|0|0.0|100
0|2021-10-27|4169.0|0|4169.0|0|48.0|0|0.0|100
0|2021-10-28|4190.0|0|4190.0|0|49.0|0|0.0|100
0|2021-10-29|4202.0|0|4202.0|0|49.0|0|0.0|100
0|2021-10-30|4202.0|0|4202.0|0|49.0|0|0.0|100
0|2021-10-31|4202.0|0|4202.0|0|49.0|0|0.0|100
0|2021-11-01|4262.0|0|4262.0|0|50.0|0|0.0|100
0|2021-11-02|4299.0|0|4299.0|0|50.0|0|0.0|100
0|2021-11-03|4318.0|0|4318.0|0|50.0|0|0.0|100
0|2021-11-04|4332.0|0|4332.0|0|51.0|0|0.0|100
0|2021-11-05|4355.0|0|4355.0|0|52.0|0|0.0|100
0|2021-11-06|4355.0|0|4355.0|0|52.0|0|0.0|100
0|2021-11-07|4355.0|0|4355.0|0|52.0|0|0.0|100
0|2021-11-08|4379.0|0|4379.0|0|52.0|0|0.0|100
0|2021-11-09|4414.0|0|4414.0|0|52.0|0|0.0|100
0|2021-11-10|4414.0|0|4428.0|0|52.0|0|0.0|100
0|2021-11-11|4451.0|0|4451.0|0|55.0|0|0.0|100
0|2021-11-12|4459.0|0|4459.0|0|56.0|0|0.0|100
0|2021-11-13|4459.0|0|4459.0|0|56.0|0|0.0|100
0|2021-11-14|4459.0|0|4459.0|0|56.0|0|0.0|100
0|2021-11-15|4478.0|0|4478.0|0|56.0|0|0.0|100
0|2021-11-16|4511.0|0|4511.0|0|56.0|0|0.0|100
0|2021-11-17|4518.0|0|4518.0|0|57.0|0|0.0|100
0|2021-11-18|4532.0|0|4532.0|0|57.0|0|0.0|100
0|2021-11-19|4549.0|0|4549.0|0|57.0|0|0.0|100
0|2021-11-20|4549.0|0|4549.0|0|57.0|0|0.0|100
0|2021-11-21|4549.0|0|4549.0|0|57.0|0|0.0|100
0|2021-11-22|4571.0|0|4571.0|0|57.0|0|0.0|100
0|2021-11-23|4616.0|0|4616.0|0|57.0|0|0.0|100
0|2021-11-24|4634.0|0|4634.0|0|57.0|0|0.0|100
0|2021-11-25|4634.0|0|4634.0|0|57.0|0|0.0|100
0|2021-11-26|4650.0|0|4650.0|0|57.0|0|0.0|100
0|2021-11-27|4650.0|0|4650.0|0|57.0|0|0.0|100
0|2021-11-28|4650.0|0|4650.0|0|57.0|0|0.0|100
0|2021-11-29|4665.0|0|4665.0|0|57.0|0|0.0|100
0|2021-11-30|4697.0|0|4697.0|0|57.0|0|0.0|100
0|2021-12-01|4707.0|0|4707.0|0|59.0|0|0.0|100
0|2021-12-02|4707.0|0|4717.0|0|59.0|0|0.0|100
0|2021-12-03|4736.0|0|4736.0|0|61.0|0|0.0|100
0|2021-12-04|4736.0|0|4736.0|0|61.0|0|0.0|100
0|2021-12-05|4736.0|0|4736.0|0|61.0|0|0.0|100
0|2021-12-06|4764.0|0|4764.0|0|61.0|0|0.0|100
0|2021-12-07|4812.0|0|4812.0|0|62.0|0|0.0|100
0|2021-12-08|4824.0|0|4824.0|0|62.0|0|0.0|100
0|2021-12-09|4840.0|0|4840.0|0|62.0|0|0.0|100
