|dates|Orleans_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Orleans_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Orleans_NewYork_UnitedStates.Male_Total_Population.data|Orleans_NewYork_UnitedStates.Male_Total_Population.missing|Orleans_NewYork_UnitedStates.Female_Total_Population.data|Orleans_NewYork_UnitedStates.Female_Total_Population.missing|Orleans_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Orleans_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-10-18|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-10-19|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-10-20|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-10-21|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-10-22|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-10-23|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-10-24|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-10-25|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-10-26|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-10-27|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-10-28|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-10-29|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-10-30|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-10-31|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-11-01|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-11-02|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-11-03|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-11-04|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-11-05|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-11-06|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-11-07|7277.0|0|20278.0|0|20334.0|0|7858.0|0
0|2021-11-08|7277.0|0|20278.0|0|20334.0|0|7858.0|0
