|dates|St.Johns_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|St.Johns_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|St.Johns_Florida_UnitedStates.Male_Total_Population.data|St.Johns_Florida_UnitedStates.Male_Total_Population.missing|St.Johns_Florida_UnitedStates.Female_Total_Population.data|St.Johns_Florida_UnitedStates.Female_Total_Population.missing|St.Johns_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|St.Johns_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-10-18|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-10-19|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-10-20|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-10-21|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-10-22|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-10-23|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-10-24|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-10-25|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-10-26|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-10-27|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-10-28|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-10-29|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-10-30|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-10-31|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-01|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-02|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-03|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-04|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-05|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-06|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-07|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-08|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-09|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-10|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-11|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-12|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-13|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-14|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-15|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-16|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-17|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-18|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-19|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-20|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-21|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-22|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-23|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-24|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-25|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-26|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-27|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-28|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-29|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-11-30|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-01|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-02|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-03|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-04|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-05|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-06|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-07|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-08|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-09|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-10|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-11|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-12|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-13|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-14|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-15|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-16|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-17|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-18|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-19|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-20|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-21|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-22|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-23|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-24|51480.0|0|124017.0|0|130244.0|0|55165.0|0
0|2021-12-25|51480.0|0|124017.0|0|130244.0|0|55165.0|0
