|dates|Clark_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Clark_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Clark_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Clark_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Clark_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Clark_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Clark_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Clark_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5098.0|0|5098.0|0|36.0|0|0.0|100
0|2021-10-18|5129.0|0|5129.0|0|37.0|0|0.0|100
0|2021-10-19|5133.0|0|5133.0|0|37.0|0|0.0|100
0|2021-10-20|5144.0|0|5144.0|0|38.0|0|0.0|100
0|2021-10-21|5150.0|0|5150.0|0|38.0|0|0.0|100
0|2021-10-22|5166.0|0|5166.0|0|38.0|0|0.0|100
0|2021-10-23|5166.0|0|5166.0|0|38.0|0|0.0|100
0|2021-10-24|5166.0|0|5166.0|0|38.0|0|0.0|100
0|2021-10-25|5202.0|0|5202.0|0|39.0|0|0.0|100
0|2021-10-26|5209.0|0|5209.0|0|39.0|0|0.0|100
0|2021-10-27|5234.0|0|5234.0|0|40.0|0|0.0|100
0|2021-10-28|5252.0|0|5252.0|0|40.0|0|0.0|100
0|2021-10-29|5270.0|0|5270.0|0|40.0|0|0.0|100
0|2021-10-30|5270.0|0|5270.0|0|40.0|0|0.0|100
0|2021-10-31|5270.0|0|5270.0|0|40.0|0|0.0|100
0|2021-11-01|5305.0|0|5305.0|0|40.0|0|0.0|100
0|2021-11-02|5316.0|0|5316.0|0|40.0|0|0.0|100
0|2021-11-03|5334.0|0|5334.0|0|40.0|0|0.0|100
0|2021-11-04|5343.0|0|5343.0|0|40.0|0|0.0|100
0|2021-11-05|5356.0|0|5356.0|0|40.0|0|0.0|100
0|2021-11-06|5356.0|0|5356.0|0|40.0|0|0.0|100
0|2021-11-07|5356.0|0|5356.0|0|40.0|0|0.0|100
0|2021-11-08|5374.0|0|5374.0|0|42.0|0|0.0|100
0|2021-11-09|5392.0|0|5392.0|0|42.0|0|0.0|100
0|2021-11-10|5392.0|0|5401.0|0|42.0|0|0.0|100
0|2021-11-11|5401.0|0|5401.0|0|42.0|0|0.0|100
0|2021-11-12|5428.0|0|5428.0|0|42.0|0|0.0|100
0|2021-11-13|5428.0|0|5428.0|0|42.0|0|0.0|100
0|2021-11-14|5428.0|0|5428.0|0|42.0|0|0.0|100
0|2021-11-15|5444.0|0|5444.0|0|43.0|0|0.0|100
0|2021-11-16|5456.0|0|5456.0|0|43.0|0|0.0|100
0|2021-11-17|5467.0|0|5467.0|0|43.0|0|0.0|100
0|2021-11-18|5489.0|0|5489.0|0|43.0|0|0.0|100
0|2021-11-19|5506.0|0|5506.0|0|43.0|0|0.0|100
0|2021-11-20|5506.0|0|5506.0|0|43.0|0|0.0|100
0|2021-11-21|5506.0|0|5506.0|0|43.0|0|0.0|100
0|2021-11-22|5522.0|0|5522.0|0|45.0|0|0.0|100
0|2021-11-23|5528.0|0|5528.0|0|45.0|0|0.0|100
0|2021-11-24|5545.0|0|5545.0|0|44.0|0|0.0|100
0|2021-11-25|5545.0|0|5545.0|0|44.0|0|0.0|100
0|2021-11-26|5545.0|0|5545.0|0|44.0|0|0.0|100
0|2021-11-27|5545.0|0|5545.0|0|44.0|0|0.0|100
0|2021-11-28|5545.0|0|5545.0|0|44.0|0|0.0|100
0|2021-11-29|5577.0|0|5577.0|0|45.0|0|0.0|100
0|2021-11-30|5598.0|0|5598.0|0|45.0|0|0.0|100
0|2021-12-01|5619.0|0|5619.0|0|45.0|0|0.0|100
0|2021-12-02|5619.0|0|5634.0|0|45.0|0|0.0|100
0|2021-12-03|5658.0|0|5658.0|0|46.0|0|0.0|100
0|2021-12-04|5658.0|0|5658.0|0|46.0|0|0.0|100
0|2021-12-05|5658.0|0|5658.0|0|46.0|0|0.0|100
0|2021-12-06|5704.0|0|5704.0|0|47.0|0|0.0|100
0|2021-12-07|5738.0|0|5738.0|0|47.0|0|0.0|100
0|2021-12-08|5753.0|0|5753.0|0|47.0|0|0.0|100
0|2021-12-09|5783.0|0|5783.0|0|47.0|0|0.0|100
0|2021-12-10|5803.0|0|5803.0|0|48.0|0|0.0|100
0|2021-12-11|5803.0|0|5803.0|0|48.0|0|0.0|100
0|2021-12-12|5803.0|0|5803.0|0|48.0|0|0.0|100
0|2021-12-13|5851.0|0|5851.0|0|48.0|0|0.0|100
0|2021-12-14|5851.0|0|5882.0|0|48.0|0|0.0|100
0|2021-12-15|5922.0|0|5922.0|0|48.0|0|0.0|100
0|2021-12-16|5946.0|0|5946.0|0|48.0|0|0.0|100
0|2021-12-17|5981.0|0|5981.0|0|48.0|0|0.0|100
0|2021-12-18|5981.0|0|5981.0|0|48.0|0|0.0|100
0|2021-12-19|5981.0|0|5981.0|0|48.0|0|0.0|100
0|2021-12-20|6045.0|0|6045.0|0|48.0|0|0.0|100
0|2021-12-21|6088.0|0|6088.0|0|48.0|0|0.0|100
0|2021-12-22|6134.0|0|6134.0|0|48.0|0|0.0|100
0|2021-12-23|6134.0|0|6134.0|0|48.0|0|0.0|100
0|2021-12-24|6134.0|0|6134.0|0|48.0|0|0.0|100
0|2021-12-25|6134.0|0|6134.0|0|48.0|0|0.0|100
0|2021-12-26|6134.0|0|6134.0|0|48.0|0|0.0|100
0|2021-12-27|6206.0|0|6206.0|0|48.0|0|0.0|100
0|2021-12-28|6240.0|0|6240.0|0|48.0|0|0.0|100
0|2021-12-29|6300.0|0|6300.0|0|48.0|0|0.0|100
0|2021-12-30|6300.0|0|6300.0|0|48.0|0|0.0|100
0|2021-12-31|6300.0|0|6300.0|0|48.0|0|0.0|100
0|2022-01-01|6300.0|0|6300.0|0|48.0|0|0.0|100
0|2022-01-02|6300.0|0|6300.0|0|48.0|0|0.0|100
0|2022-01-03|6443.0|0|6443.0|0|49.0|0|0.0|100
0|2022-01-04|6488.0|0|6488.0|0|49.0|0|0.0|100
0|2022-01-05|6602.0|0|6602.0|0|49.0|0|0.0|100
0|2022-01-06|6679.0|0|6679.0|0|49.0|0|0.0|100
0|2022-01-07|6775.0|0|6775.0|0|49.0|0|0.0|100
0|2022-01-08|6775.0|0|6775.0|0|49.0|0|0.0|100
0|2022-01-09|6775.0|0|6775.0|0|49.0|0|0.0|100
0|2022-01-10|6861.0|0|6861.0|0|49.0|0|0.0|100
0|2022-01-11|6942.0|0|6942.0|0|49.0|0|0.0|100
0|2022-01-12|6997.0|0|6997.0|0|49.0|0|0.0|100
0|2022-01-13|6997.0|0|7079.0|0|49.0|0|0.0|100
0|2022-01-14|7159.0|0|7159.0|0|50.0|0|0.0|100
0|2022-01-15|7159.0|0|7159.0|0|50.0|0|0.0|100
0|2022-01-16|7159.0|0|7159.0|0|50.0|0|0.0|100
0|2022-01-17|7159.0|0|0.0|100|50.0|0|0.0|100
