|dates|Hunterdon_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Hunterdon_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Hunterdon_NewJersey_UnitedStates.NYT_ConfirmedCases.data|Hunterdon_NewJersey_UnitedStates.NYT_ConfirmedCases.missing|Hunterdon_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Hunterdon_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Hunterdon_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Hunterdon_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11824.0|0|11824.0|0|190.0|0|0.0|100
0|2021-10-18|11838.0|0|11838.0|0|190.0|0|0.0|100
0|2021-10-19|11861.0|0|11861.0|0|191.0|0|0.0|100
0|2021-10-20|11881.0|0|11881.0|0|191.0|0|0.0|100
0|2021-10-21|11903.0|0|11903.0|0|191.0|0|0.0|100
0|2021-10-22|11939.0|0|11939.0|0|191.0|0|0.0|100
0|2021-10-23|11948.0|0|11948.0|0|191.0|0|0.0|100
0|2021-10-24|11960.0|0|11960.0|0|191.0|0|0.0|100
0|2021-10-25|11969.0|0|11969.0|0|191.0|0|0.0|100
0|2021-10-26|11991.0|0|11991.0|0|192.0|0|0.0|100
0|2021-10-27|12016.0|0|12016.0|0|192.0|0|0.0|100
0|2021-10-28|12025.0|0|12025.0|0|192.0|0|0.0|100
0|2021-10-29|12047.0|0|12047.0|0|192.0|0|0.0|100
0|2021-10-30|12072.0|0|12072.0|0|192.0|0|0.0|100
0|2021-10-31|12086.0|0|12086.0|0|192.0|0|0.0|100
0|2021-11-01|12096.0|0|12096.0|0|192.0|0|0.0|100
0|2021-11-02|12110.0|0|12110.0|0|192.0|0|0.0|100
0|2021-11-03|12118.0|0|12118.0|0|192.0|0|0.0|100
0|2021-11-04|12137.0|0|12137.0|0|192.0|0|0.0|100
0|2021-11-05|12150.0|0|12150.0|0|192.0|0|0.0|100
0|2021-11-06|12165.0|0|12165.0|0|192.0|0|0.0|100
0|2021-11-07|12178.0|0|12178.0|0|192.0|0|0.0|100
0|2021-11-08|12191.0|0|12191.0|0|192.0|0|0.0|100
0|2021-11-09|12211.0|0|12211.0|0|192.0|0|0.0|100
0|2021-11-10|12211.0|0|12238.0|0|192.0|0|0.0|100
0|2021-11-11|12282.0|0|12282.0|0|192.0|0|0.0|100
0|2021-11-12|12300.0|0|12300.0|0|192.0|0|0.0|100
0|2021-11-13|12338.0|0|12338.0|0|192.0|0|0.0|100
0|2021-11-14|12363.0|0|12363.0|0|192.0|0|0.0|100
0|2021-11-15|12386.0|0|12386.0|0|192.0|0|0.0|100
0|2021-11-16|12412.0|0|12412.0|0|193.0|0|0.0|100
0|2021-11-17|12453.0|0|12453.0|0|193.0|0|0.0|100
0|2021-11-18|12514.0|0|12514.0|0|193.0|0|0.0|100
0|2021-11-19|12559.0|0|12559.0|0|193.0|0|0.0|100
0|2021-11-20|12602.0|0|12602.0|0|193.0|0|0.0|100
0|2021-11-21|12625.0|0|12625.0|0|193.0|0|0.0|100
0|2021-11-22|12652.0|0|12652.0|0|193.0|0|0.0|100
0|2021-11-23|12709.0|0|12709.0|0|194.0|0|0.0|100
0|2021-11-24|12745.0|0|12745.0|0|194.0|0|0.0|100
0|2021-11-25|12787.0|0|12787.0|0|194.0|0|0.0|100
0|2021-11-26|12822.0|0|12822.0|0|195.0|0|0.0|100
0|2021-11-27|12850.0|0|12850.0|0|195.0|0|0.0|100
0|2021-11-28|12884.0|0|12884.0|0|195.0|0|0.0|100
0|2021-11-29|12938.0|0|12938.0|0|195.0|0|0.0|100
0|2021-11-30|12998.0|0|12998.0|0|195.0|0|0.0|100
0|2021-12-01|13041.0|0|13041.0|0|196.0|0|0.0|100
0|2021-12-02|13103.0|0|13103.0|0|196.0|0|0.0|100
0|2021-12-03|13103.0|0|13185.0|0|196.0|0|0.0|100
0|2021-12-04|13245.0|0|13245.0|0|196.0|0|0.0|100
0|2021-12-05|13289.0|0|13289.0|0|196.0|0|0.0|100
0|2021-12-06|13345.0|0|13345.0|0|196.0|0|0.0|100
0|2021-12-07|13381.0|0|13381.0|0|196.0|0|0.0|100
0|2021-12-08|13448.0|0|13448.0|0|196.0|0|0.0|100
0|2021-12-09|13520.0|0|13520.0|0|196.0|0|0.0|100
0|2021-12-10|13601.0|0|13601.0|0|196.0|0|0.0|100
0|2021-12-11|13680.0|0|13680.0|0|196.0|0|0.0|100
0|2021-12-12|13729.0|0|13729.0|0|196.0|0|0.0|100
0|2021-12-13|13765.0|0|13765.0|0|196.0|0|0.0|100
0|2021-12-14|13765.0|0|13826.0|0|196.0|0|0.0|100
0|2021-12-15|13878.0|0|13878.0|0|196.0|0|0.0|100
0|2021-12-16|13963.0|0|13963.0|0|196.0|0|0.0|100
0|2021-12-17|14047.0|0|14047.0|0|196.0|0|0.0|100
0|2021-12-18|14119.0|0|14119.0|0|196.0|0|0.0|100
0|2021-12-19|14181.0|0|14181.0|0|196.0|0|0.0|100
0|2021-12-20|14243.0|0|14243.0|0|196.0|0|0.0|100
0|2021-12-21|14358.0|0|14358.0|0|197.0|0|0.0|100
0|2021-12-22|14440.0|0|14440.0|0|197.0|0|0.0|100
0|2021-12-23|14698.0|0|14698.0|0|198.0|0|0.0|100
