|dates|Bexar_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Bexar_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Bexar_Texas_UnitedStates.NYT_ConfirmedDeaths.data|Bexar_Texas_UnitedStates.NYT_ConfirmedDeaths.missing|Bexar_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Bexar_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Bexar_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Bexar_Texas_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|4981.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|4976.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|4988.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|5010.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|5026.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|5042.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|5064.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|5070.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|5072.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|5082.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|5095.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|5107.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|5125.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|5129.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|5131.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|5131.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|5133.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|5139.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|5146.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|5151.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|5162.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|5164.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|5165.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|5175.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|5175.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|5196.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|5218.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|5221.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|5222.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|5222.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|5228.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|5233.0|0|0.0|100|0.0|100
0|2021-11-18|0.0|100|5244.0|0|0.0|100|0.0|100
0|2021-11-19|0.0|100|5248.0|0|0.0|100|0.0|100
0|2021-11-20|0.0|100|5253.0|0|0.0|100|0.0|100
0|2021-11-21|0.0|100|5254.0|0|0.0|100|0.0|100
0|2021-11-22|0.0|100|5254.0|0|0.0|100|0.0|100
0|2021-11-23|0.0|100|5257.0|0|0.0|100|0.0|100
0|2021-11-24|0.0|100|5263.0|0|0.0|100|0.0|100
0|2021-11-25|0.0|100|5263.0|0|0.0|100|0.0|100
0|2021-11-26|0.0|100|5263.0|0|0.0|100|0.0|100
0|2021-11-27|0.0|100|5263.0|0|0.0|100|0.0|100
0|2021-11-28|0.0|100|5263.0|0|0.0|100|0.0|100
0|2021-11-29|0.0|100|5269.0|0|0.0|100|0.0|100
0|2021-11-30|0.0|100|5273.0|0|0.0|100|0.0|100
