|dates|Goshen_Wyoming_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Goshen_Wyoming_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Goshen_Wyoming_UnitedStates.Male_Total_Population.data|Goshen_Wyoming_UnitedStates.Male_Total_Population.missing|Goshen_Wyoming_UnitedStates.Female_Total_Population.data|Goshen_Wyoming_UnitedStates.Female_Total_Population.missing|Goshen_Wyoming_UnitedStates.MaleAndFemale_Under18_Population.data|Goshen_Wyoming_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-04|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2022-01-05|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2022-01-06|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2022-01-07|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2022-01-08|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2022-01-09|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2022-01-10|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2022-01-11|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2022-01-12|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2022-01-13|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2022-01-14|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2022-01-15|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2022-01-16|2934.0|0|6983.0|0|6393.0|0|2685.0|0
0|2022-01-17|2934.0|0|6983.0|0|6393.0|0|2685.0|0
