|dates|Humphreys_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Humphreys_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Humphreys_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Humphreys_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Humphreys_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Humphreys_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Humphreys_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Humphreys_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3173.0|0|3173.0|0|45.0|0|0.0|100
0|2021-10-18|3190.0|0|3190.0|0|45.0|0|0.0|100
0|2021-10-19|3195.0|0|3195.0|0|45.0|0|0.0|100
0|2021-10-20|3200.0|0|3200.0|0|45.0|0|0.0|100
0|2021-10-21|3200.0|0|3200.0|0|45.0|0|0.0|100
0|2021-10-22|3208.0|0|3208.0|0|45.0|0|0.0|100
0|2021-10-23|3208.0|0|3208.0|0|45.0|0|0.0|100
0|2021-10-24|3208.0|0|3208.0|0|45.0|0|0.0|100
0|2021-10-25|3208.0|0|3208.0|0|45.0|0|0.0|100
0|2021-10-26|3225.0|0|3225.0|0|46.0|0|0.0|100
0|2021-10-27|3231.0|0|3231.0|0|47.0|0|0.0|100
0|2021-10-28|3233.0|0|3233.0|0|47.0|0|0.0|100
0|2021-10-29|3240.0|0|3240.0|0|47.0|0|0.0|100
0|2021-10-30|3240.0|0|3240.0|0|47.0|0|0.0|100
0|2021-10-31|3240.0|0|3240.0|0|47.0|0|0.0|100
0|2021-11-01|3240.0|0|3240.0|0|47.0|0|0.0|100
0|2021-11-02|3252.0|0|3252.0|0|47.0|0|0.0|100
0|2021-11-03|3259.0|0|3259.0|0|47.0|0|0.0|100
0|2021-11-04|3264.0|0|3264.0|0|47.0|0|0.0|100
0|2021-11-05|3267.0|0|3267.0|0|47.0|0|0.0|100
0|2021-11-06|3267.0|0|3267.0|0|47.0|0|0.0|100
0|2021-11-07|3267.0|0|3267.0|0|47.0|0|0.0|100
0|2021-11-08|3267.0|0|3267.0|0|47.0|0|0.0|100
0|2021-11-09|3282.0|0|3282.0|0|47.0|0|0.0|100
0|2021-11-10|3287.0|0|3287.0|0|48.0|0|0.0|100
0|2021-11-11|3287.0|0|3287.0|0|48.0|0|0.0|100
