|dates|Columbus_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Columbus_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Columbus_NorthCarolina_UnitedStates.Male_Total_Population.data|Columbus_NorthCarolina_UnitedStates.Male_Total_Population.missing|Columbus_NorthCarolina_UnitedStates.Female_Total_Population.data|Columbus_NorthCarolina_UnitedStates.Female_Total_Population.missing|Columbus_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Columbus_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-10-18|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-10-19|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-10-20|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-10-21|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-10-22|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-10-23|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-10-24|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-10-25|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-10-26|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-10-27|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-10-28|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-10-29|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-10-30|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-10-31|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-01|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-02|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-03|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-04|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-05|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-06|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-07|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-08|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-09|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-10|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-11|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-12|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-13|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-14|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-15|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-16|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-17|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-18|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-19|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-20|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-21|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-22|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-23|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-24|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-25|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-26|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-27|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-28|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-29|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-11-30|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-12-01|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-12-02|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-12-03|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-12-04|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-12-05|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-12-06|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-12-07|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-12-08|11191.0|0|27545.0|0|28110.0|0|11645.0|0
0|2021-12-09|11191.0|0|27545.0|0|28110.0|0|11645.0|0
