|dates|Staunton_Virginia_UnitedStates.JHU_ConfirmedCases.data|Staunton_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Staunton_Virginia_UnitedStates.NYT_ConfirmedCases.data|Staunton_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Staunton_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Staunton_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Staunton_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Staunton_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3322.0|0|3322.0|0|81.0|0|0.0|100
0|2021-10-18|3342.0|0|3342.0|0|81.0|0|0.0|100
0|2021-10-19|3350.0|0|3350.0|0|81.0|0|0.0|100
0|2021-10-20|3351.0|0|3351.0|0|81.0|0|0.0|100
0|2021-10-21|3358.0|0|3358.0|0|81.0|0|0.0|100
0|2021-10-22|3366.0|0|3366.0|0|81.0|0|0.0|100
0|2021-10-23|3366.0|0|3366.0|0|81.0|0|0.0|100
0|2021-10-24|3366.0|0|3366.0|0|81.0|0|0.0|100
0|2021-10-25|3378.0|0|3378.0|0|81.0|0|0.0|100
0|2021-10-26|3381.0|0|3381.0|0|81.0|0|0.0|100
0|2021-10-27|3386.0|0|3386.0|0|81.0|0|0.0|100
0|2021-10-28|3392.0|0|3392.0|0|81.0|0|0.0|100
0|2021-10-29|3398.0|0|3398.0|0|81.0|0|0.0|100
0|2021-10-30|3398.0|0|3398.0|0|81.0|0|0.0|100
0|2021-10-31|3398.0|0|3398.0|0|81.0|0|0.0|100
0|2021-11-01|3413.0|0|3413.0|0|81.0|0|0.0|100
0|2021-11-02|3417.0|0|3417.0|0|81.0|0|0.0|100
0|2021-11-03|3420.0|0|3420.0|0|81.0|0|0.0|100
0|2021-11-04|3425.0|0|3425.0|0|81.0|0|0.0|100
0|2021-11-05|3429.0|0|3429.0|0|81.0|0|0.0|100
0|2021-11-06|3429.0|0|3429.0|0|81.0|0|0.0|100
0|2021-11-07|3429.0|0|3429.0|0|81.0|0|0.0|100
0|2021-11-08|3445.0|0|3445.0|0|82.0|0|0.0|100
0|2021-11-09|3448.0|0|3448.0|0|82.0|0|0.0|100
0|2021-11-10|3448.0|0|3450.0|0|82.0|0|0.0|100
0|2021-11-11|3453.0|0|3453.0|0|82.0|0|0.0|100
0|2021-11-12|3460.0|0|3460.0|0|82.0|0|0.0|100
0|2021-11-13|3460.0|0|3460.0|0|82.0|0|0.0|100
0|2021-11-14|3460.0|0|3460.0|0|82.0|0|0.0|100
0|2021-11-15|3465.0|0|3465.0|0|82.0|0|0.0|100
0|2021-11-16|3471.0|0|3471.0|0|82.0|0|0.0|100
0|2021-11-17|3486.0|0|3486.0|0|82.0|0|0.0|100
0|2021-11-18|3494.0|0|3494.0|0|82.0|0|0.0|100
0|2021-11-19|3498.0|0|3498.0|0|82.0|0|0.0|100
0|2021-11-20|3498.0|0|3498.0|0|82.0|0|0.0|100
0|2021-11-21|3498.0|0|3498.0|0|82.0|0|0.0|100
0|2021-11-22|3507.0|0|3507.0|0|82.0|0|0.0|100
0|2021-11-23|3515.0|0|3515.0|0|82.0|0|0.0|100
0|2021-11-24|3516.0|0|3516.0|0|82.0|0|0.0|100
0|2021-11-25|3522.0|0|3522.0|0|83.0|0|0.0|100
0|2021-11-26|3530.0|0|3530.0|0|83.0|0|0.0|100
0|2021-11-27|3530.0|0|3530.0|0|83.0|0|0.0|100
0|2021-11-28|3530.0|0|3530.0|0|83.0|0|0.0|100
0|2021-11-29|3541.0|0|3541.0|0|83.0|0|0.0|100
0|2021-11-30|3540.0|0|3540.0|0|83.0|0|0.0|100
0|2021-12-01|3549.0|0|3549.0|0|83.0|0|0.0|100
0|2021-12-02|3565.0|0|3565.0|0|84.0|0|0.0|100
0|2021-12-03|3576.0|0|3576.0|0|84.0|0|0.0|100
