|dates|St.Francois_Missouri_UnitedStates.JHU_ConfirmedCases.data|St.Francois_Missouri_UnitedStates.JHU_ConfirmedCases.missing|St.Francois_Missouri_UnitedStates.NYT_ConfirmedCases.data|St.Francois_Missouri_UnitedStates.NYT_ConfirmedCases.missing|St.Francois_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|St.Francois_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|St.Francois_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|St.Francois_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11878.0|0|11878.0|0|161.0|0|0.0|100
0|2021-10-18|11880.0|0|11880.0|0|161.0|0|0.0|100
0|2021-10-19|11882.0|0|11882.0|0|164.0|0|0.0|100
0|2021-10-20|11896.0|0|11896.0|0|164.0|0|0.0|100
0|2021-10-21|11908.0|0|11908.0|0|164.0|0|0.0|100
0|2021-10-22|11922.0|0|11922.0|0|164.0|0|0.0|100
0|2021-10-23|11930.0|0|11930.0|0|164.0|0|0.0|100
0|2021-10-24|11940.0|0|11940.0|0|164.0|0|0.0|100
0|2021-10-25|11944.0|0|11944.0|0|164.0|0|0.0|100
0|2021-10-26|11952.0|0|11952.0|0|166.0|0|0.0|100
0|2021-10-27|11961.0|0|11961.0|0|166.0|0|0.0|100
0|2021-10-28|11969.0|0|11969.0|0|166.0|0|0.0|100
0|2021-10-29|11976.0|0|11976.0|0|166.0|0|0.0|100
0|2021-10-30|11989.0|0|11989.0|0|166.0|0|0.0|100
0|2021-10-31|11996.0|0|11996.0|0|166.0|0|0.0|100
0|2021-11-01|11999.0|0|11999.0|0|166.0|0|0.0|100
0|2021-11-02|12008.0|0|12008.0|0|173.0|0|0.0|100
0|2021-11-03|12035.0|0|12035.0|0|173.0|0|0.0|100
0|2021-11-04|12040.0|0|12040.0|0|173.0|0|0.0|100
0|2021-11-05|12052.0|0|12052.0|0|173.0|0|0.0|100
0|2021-11-06|12103.0|0|12103.0|0|173.0|0|0.0|100
0|2021-11-07|12111.0|0|12111.0|0|173.0|0|0.0|100
0|2021-11-08|12115.0|0|12115.0|0|173.0|0|0.0|100
0|2021-11-09|12131.0|0|12131.0|0|177.0|0|0.0|100
0|2021-11-10|12159.0|0|12159.0|0|177.0|0|0.0|100
0|2021-11-11|12159.0|0|12159.0|0|177.0|0|0.0|100
0|2021-11-12|12196.0|0|12196.0|0|177.0|0|0.0|100
0|2021-11-13|12213.0|0|12213.0|0|177.0|0|0.0|100
0|2021-11-14|12224.0|0|12224.0|0|177.0|0|0.0|100
0|2021-11-15|12238.0|0|12238.0|0|177.0|0|0.0|100
0|2021-11-16|12246.0|0|12246.0|0|179.0|0|0.0|100
0|2021-11-17|12267.0|0|12267.0|0|179.0|0|0.0|100
0|2021-11-18|12458.0|0|12458.0|0|180.0|0|0.0|100
0|2021-11-19|12480.0|0|12480.0|0|180.0|0|0.0|100
0|2021-11-20|12512.0|0|12512.0|0|180.0|0|0.0|100
0|2021-11-21|12522.0|0|12522.0|0|180.0|0|0.0|100
0|2021-11-22|12535.0|0|12535.0|0|179.0|0|0.0|100
0|2021-11-23|12554.0|0|12554.0|0|180.0|0|0.0|100
0|2021-11-24|12580.0|0|12580.0|0|181.0|0|0.0|100
0|2021-11-25|12580.0|0|12580.0|0|181.0|0|0.0|100
0|2021-11-26|12580.0|0|12580.0|0|181.0|0|0.0|100
0|2021-11-27|12580.0|0|12580.0|0|181.0|0|0.0|100
0|2021-11-28|12580.0|0|12580.0|0|181.0|0|0.0|100
0|2021-11-29|12664.0|0|12664.0|0|181.0|0|0.0|100
0|2021-11-30|12694.0|0|12694.0|0|182.0|0|0.0|100
0|2021-12-01|12728.0|0|12728.0|0|182.0|0|0.0|100
0|2021-12-02|12761.0|0|12761.0|0|212.0|0|0.0|100
0|2021-12-03|12761.0|0|12761.0|0|212.0|0|0.0|100
0|2021-12-04|12803.0|0|12803.0|0|212.0|0|0.0|100
0|2021-12-05|12814.0|0|12814.0|0|212.0|0|0.0|100
0|2021-12-06|12867.0|0|12867.0|0|212.0|0|0.0|100
0|2021-12-07|12878.0|0|12878.0|0|216.0|0|0.0|100
0|2021-12-08|12930.0|0|12930.0|0|216.0|0|0.0|100
0|2021-12-09|12962.0|0|12962.0|0|216.0|0|0.0|100
0|2021-12-10|13000.0|0|13000.0|0|216.0|0|0.0|100
0|2021-12-11|13026.0|0|13026.0|0|216.0|0|0.0|100
0|2021-12-12|13047.0|0|13047.0|0|216.0|0|0.0|100
0|2021-12-13|13056.0|0|13056.0|0|216.0|0|0.0|100
0|2021-12-14|13056.0|0|13078.0|0|216.0|0|0.0|100
0|2021-12-15|13141.0|0|13141.0|0|216.0|0|0.0|100
0|2021-12-16|13199.0|0|13199.0|0|216.0|0|0.0|100
0|2021-12-17|13232.0|0|13232.0|0|216.0|0|0.0|100
0|2021-12-18|13327.0|0|13327.0|0|216.0|0|0.0|100
0|2021-12-19|13345.0|0|13345.0|0|216.0|0|0.0|100
0|2021-12-20|13371.0|0|13371.0|0|216.0|0|0.0|100
0|2021-12-21|13391.0|0|13391.0|0|222.0|0|0.0|100
0|2021-12-22|13456.0|0|13456.0|0|222.0|0|0.0|100
0|2021-12-23|13527.0|0|13527.0|0|222.0|0|0.0|100
0|2021-12-24|13527.0|0|13527.0|0|222.0|0|0.0|100
0|2021-12-25|13527.0|0|13527.0|0|222.0|0|0.0|100
0|2021-12-26|13527.0|0|13527.0|0|222.0|0|0.0|100
0|2021-12-27|13607.0|0|13607.0|0|222.0|0|0.0|100
0|2021-12-28|13647.0|0|13647.0|0|228.0|0|0.0|100
0|2021-12-29|13723.0|0|13723.0|0|228.0|0|0.0|100
0|2021-12-30|13760.0|0|13760.0|0|228.0|0|0.0|100
0|2021-12-31|13760.0|0|13760.0|0|228.0|0|0.0|100
0|2022-01-01|13760.0|0|13760.0|0|228.0|0|0.0|100
0|2022-01-02|13760.0|0|13760.0|0|228.0|0|0.0|100
