|dates|Traverse_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Traverse_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Traverse_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Traverse_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Traverse_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Traverse_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Traverse_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Traverse_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|500.0|0|500.0|0|5.0|0|0.0|100
0|2021-10-18|503.0|0|503.0|0|5.0|0|0.0|100
0|2021-10-19|507.0|0|507.0|0|5.0|0|0.0|100
0|2021-10-20|510.0|0|510.0|0|5.0|0|0.0|100
0|2021-10-21|512.0|0|512.0|0|5.0|0|0.0|100
0|2021-10-22|516.0|0|516.0|0|5.0|0|0.0|100
0|2021-10-23|516.0|0|516.0|0|5.0|0|0.0|100
0|2021-10-24|516.0|0|516.0|0|5.0|0|0.0|100
0|2021-10-25|517.0|0|517.0|0|5.0|0|0.0|100
0|2021-10-26|528.0|0|528.0|0|5.0|0|0.0|100
0|2021-10-27|533.0|0|533.0|0|5.0|0|0.0|100
0|2021-10-28|535.0|0|535.0|0|5.0|0|0.0|100
0|2021-10-29|537.0|0|537.0|0|5.0|0|0.0|100
0|2021-10-30|537.0|0|537.0|0|5.0|0|0.0|100
0|2021-10-31|537.0|0|537.0|0|5.0|0|0.0|100
0|2021-11-01|543.0|0|543.0|0|5.0|0|0.0|100
0|2021-11-02|551.0|0|551.0|0|5.0|0|0.0|100
0|2021-11-03|553.0|0|553.0|0|5.0|0|0.0|100
0|2021-11-04|556.0|0|556.0|0|5.0|0|0.0|100
0|2021-11-05|563.0|0|563.0|0|5.0|0|0.0|100
0|2021-11-06|563.0|0|563.0|0|5.0|0|0.0|100
