|dates|Weakley_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Weakley_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Weakley_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Weakley_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Weakley_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Weakley_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Weakley_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Weakley_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-12-27|6694.0|0|6694.0|0|107.0|0|0.0|100
0|2021-12-28|6694.0|0|6704.0|0|107.0|0|0.0|100
0|2021-12-29|6732.0|0|6732.0|0|107.0|0|0.0|100
0|2021-12-30|6769.0|0|6769.0|0|107.0|0|0.0|100
0|2021-12-31|6769.0|0|6769.0|0|107.0|0|0.0|100
0|2022-01-01|6769.0|0|6769.0|0|107.0|0|0.0|100
0|2022-01-02|6769.0|0|6769.0|0|107.0|0|0.0|100
0|2022-01-03|6859.0|0|6859.0|0|107.0|0|0.0|100
0|2022-01-04|6893.0|0|6893.0|0|107.0|0|0.0|100
0|2022-01-05|6893.0|0|6893.0|0|107.0|0|0.0|100
0|2022-01-06|6893.0|0|6893.0|0|107.0|0|0.0|100
0|2022-01-07|6893.0|0|6893.0|0|107.0|0|0.0|100
0|2022-01-08|6893.0|0|6893.0|0|107.0|0|0.0|100
0|2022-01-09|6893.0|0|6893.0|0|107.0|0|0.0|100
0|2022-01-10|6893.0|0|6893.0|0|107.0|0|0.0|100
0|2022-01-11|6893.0|0|6893.0|0|107.0|0|0.0|100
0|2022-01-12|7147.0|0|7147.0|0|107.0|0|0.0|100
0|2022-01-13|7147.0|0|7147.0|0|107.0|0|0.0|100
0|2022-01-14|7147.0|0|7147.0|0|107.0|0|0.0|100
0|2022-01-15|7147.0|0|7147.0|0|107.0|0|0.0|100
0|2022-01-16|7147.0|0|7147.0|0|107.0|0|0.0|100
0|2022-01-17|7147.0|0|0.0|100|107.0|0|0.0|100
