|dates|Polk_Iowa_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Polk_Iowa_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Polk_Iowa_UnitedStates.Male_Total_Population.data|Polk_Iowa_UnitedStates.Male_Total_Population.missing|Polk_Iowa_UnitedStates.Female_Total_Population.data|Polk_Iowa_UnitedStates.Female_Total_Population.missing|Polk_Iowa_UnitedStates.MaleAndFemale_Under18_Population.data|Polk_Iowa_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-10-18|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-10-19|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-10-20|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-10-21|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-10-22|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-10-23|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-10-24|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-10-25|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-10-26|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-10-27|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-10-28|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-10-29|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-10-30|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-10-31|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-11-01|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-11-02|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-11-03|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-11-04|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-11-05|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-11-06|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-11-07|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-11-08|63631.0|0|240245.0|0|246959.0|0|121315.0|0
0|2021-11-09|63631.0|0|240245.0|0|246959.0|0|121315.0|0
