|dates|Oscoda_Michigan_UnitedStates.JHU_ConfirmedCases.data|Oscoda_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Oscoda_Michigan_UnitedStates.NYT_ConfirmedCases.data|Oscoda_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Oscoda_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Oscoda_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Oscoda_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Oscoda_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|903.0|0|903.0|0|33.0|0|0.0|100
0|2021-10-18|913.0|0|913.0|0|33.0|0|0.0|100
0|2021-10-19|913.0|0|913.0|0|33.0|0|0.0|100
0|2021-10-20|923.0|0|923.0|0|34.0|0|0.0|100
0|2021-10-21|923.0|0|923.0|0|34.0|0|0.0|100
0|2021-10-22|942.0|0|942.0|0|34.0|0|0.0|100
0|2021-10-23|942.0|0|942.0|0|34.0|0|0.0|100
0|2021-10-24|942.0|0|942.0|0|34.0|0|0.0|100
0|2021-10-25|948.0|0|948.0|0|34.0|0|0.0|100
0|2021-10-26|948.0|0|948.0|0|34.0|0|0.0|100
0|2021-10-27|956.0|0|956.0|0|38.0|0|0.0|100
0|2021-10-28|956.0|0|956.0|0|38.0|0|0.0|100
0|2021-10-29|965.0|0|965.0|0|38.0|0|0.0|100
0|2021-10-30|965.0|0|965.0|0|38.0|0|0.0|100
0|2021-10-31|965.0|0|965.0|0|38.0|0|0.0|100
0|2021-11-01|983.0|0|983.0|0|38.0|0|0.0|100
0|2021-11-02|983.0|0|983.0|0|38.0|0|0.0|100
0|2021-11-03|995.0|0|995.0|0|39.0|0|0.0|100
0|2021-11-04|995.0|0|995.0|0|39.0|0|0.0|100
0|2021-11-05|1005.0|0|1005.0|0|39.0|0|0.0|100
0|2021-11-06|1005.0|0|1005.0|0|39.0|0|0.0|100
0|2021-11-07|1005.0|0|1005.0|0|39.0|0|0.0|100
0|2021-11-08|1016.0|0|1016.0|0|39.0|0|0.0|100
0|2021-11-09|1016.0|0|1016.0|0|39.0|0|0.0|100
0|2021-11-10|1016.0|0|1020.0|0|39.0|0|0.0|100
0|2021-11-11|1020.0|0|1020.0|0|40.0|0|0.0|100
0|2021-11-12|1029.0|0|1029.0|0|40.0|0|0.0|100
0|2021-11-13|1029.0|0|1029.0|0|40.0|0|0.0|100
0|2021-11-14|1029.0|0|1029.0|0|40.0|0|0.0|100
0|2021-11-15|1048.0|0|1048.0|0|41.0|0|0.0|100
0|2021-11-16|1048.0|0|1048.0|0|41.0|0|0.0|100
0|2021-11-17|1054.0|0|1054.0|0|41.0|0|0.0|100
0|2021-11-18|1054.0|0|1054.0|0|41.0|0|0.0|100
0|2021-11-19|1063.0|0|1063.0|0|41.0|0|0.0|100
0|2021-11-20|1063.0|0|1063.0|0|41.0|0|0.0|100
0|2021-11-21|1063.0|0|1063.0|0|41.0|0|0.0|100
0|2021-11-22|1077.0|0|1077.0|0|42.0|0|0.0|100
0|2021-11-23|1077.0|0|1077.0|0|42.0|0|0.0|100
0|2021-11-24|1087.0|0|1087.0|0|42.0|0|0.0|100
0|2021-11-25|1087.0|0|1087.0|0|42.0|0|0.0|100
0|2021-11-26|1087.0|0|1087.0|0|42.0|0|0.0|100
0|2021-11-27|1087.0|0|1087.0|0|42.0|0|0.0|100
0|2021-11-28|1087.0|0|1087.0|0|42.0|0|0.0|100
0|2021-11-29|1094.0|0|1094.0|0|42.0|0|0.0|100
0|2021-11-30|1094.0|0|1094.0|0|42.0|0|0.0|100
0|2021-12-01|1104.0|0|1104.0|0|45.0|0|0.0|100
0|2021-12-02|1104.0|0|1104.0|0|45.0|0|0.0|100
0|2021-12-03|1112.0|0|1112.0|0|47.0|0|0.0|100
0|2021-12-04|1112.0|0|1112.0|0|47.0|0|0.0|100
0|2021-12-05|1112.0|0|1112.0|0|47.0|0|0.0|100
0|2021-12-06|1117.0|0|1117.0|0|47.0|0|0.0|100
0|2021-12-07|1117.0|0|1117.0|0|47.0|0|0.0|100
0|2021-12-08|1130.0|0|1130.0|0|47.0|0|0.0|100
0|2021-12-09|1130.0|0|1130.0|0|47.0|0|0.0|100
0|2021-12-10|1136.0|0|1136.0|0|48.0|0|0.0|100
0|2021-12-11|1136.0|0|1136.0|0|48.0|0|0.0|100
0|2021-12-12|1136.0|0|1136.0|0|48.0|0|0.0|100
0|2021-12-13|1146.0|0|1146.0|0|49.0|0|0.0|100
0|2021-12-14|1146.0|0|1146.0|0|49.0|0|0.0|100
0|2021-12-15|1150.0|0|1150.0|0|49.0|0|0.0|100
0|2021-12-16|1150.0|0|1150.0|0|49.0|0|0.0|100
0|2021-12-17|1154.0|0|1154.0|0|49.0|0|0.0|100
0|2021-12-18|1154.0|0|1154.0|0|49.0|0|0.0|100
0|2021-12-19|1154.0|0|1154.0|0|49.0|0|0.0|100
0|2021-12-20|1157.0|0|1157.0|0|49.0|0|0.0|100
0|2021-12-21|1157.0|0|1157.0|0|49.0|0|0.0|100
0|2021-12-22|1159.0|0|1159.0|0|49.0|0|0.0|100
0|2021-12-23|1159.0|0|1159.0|0|49.0|0|0.0|100
0|2021-12-24|1159.0|0|1159.0|0|49.0|0|0.0|100
0|2021-12-25|1159.0|0|1159.0|0|49.0|0|0.0|100
