|dates|McIntosh_Georgia_UnitedStates.JHU_ConfirmedCases.data|McIntosh_Georgia_UnitedStates.JHU_ConfirmedCases.missing|McIntosh_Georgia_UnitedStates.NYT_ConfirmedCases.data|McIntosh_Georgia_UnitedStates.NYT_ConfirmedCases.missing|McIntosh_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|McIntosh_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|McIntosh_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|McIntosh_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1695.0|0|1704.0|0|29.0|0|0.0|100
0|2021-10-18|1696.0|0|1705.0|0|29.0|0|0.0|100
0|2021-10-19|1697.0|0|1706.0|0|29.0|0|0.0|100
0|2021-10-20|1697.0|0|1706.0|0|29.0|0|0.0|100
0|2021-10-21|1698.0|0|1707.0|0|29.0|0|0.0|100
0|2021-10-22|1698.0|0|1707.0|0|30.0|0|0.0|100
0|2021-10-23|1698.0|0|1707.0|0|30.0|0|0.0|100
0|2021-10-24|1698.0|0|1707.0|0|30.0|0|0.0|100
0|2021-10-25|1698.0|0|1702.0|0|30.0|0|0.0|100
0|2021-10-26|1700.0|0|1704.0|0|31.0|0|0.0|100
0|2021-10-27|1701.0|0|1705.0|0|31.0|0|0.0|100
0|2021-10-28|1701.0|0|1705.0|0|31.0|0|0.0|100
0|2021-10-29|1701.0|0|1705.0|0|31.0|0|0.0|100
0|2021-10-30|1701.0|0|1705.0|0|31.0|0|0.0|100
0|2021-10-31|1701.0|0|1705.0|0|31.0|0|0.0|100
0|2021-11-01|1703.0|0|1708.0|0|31.0|0|0.0|100
0|2021-11-02|1704.0|0|1709.0|0|31.0|0|0.0|100
0|2021-11-03|1704.0|0|1709.0|0|31.0|0|0.0|100
0|2021-11-04|1704.0|0|1709.0|0|31.0|0|0.0|100
0|2021-11-05|1704.0|0|1709.0|0|31.0|0|0.0|100
0|2021-11-06|1704.0|0|1709.0|0|31.0|0|0.0|100
0|2021-11-07|1704.0|0|1709.0|0|31.0|0|0.0|100
0|2021-11-08|1704.0|0|1709.0|0|31.0|0|0.0|100
0|2021-11-09|1709.0|0|1714.0|0|31.0|0|0.0|100
0|2021-11-10|1709.0|0|1714.0|0|31.0|0|0.0|100
0|2021-11-11|1709.0|0|1714.0|0|31.0|0|0.0|100
0|2021-11-12|1710.0|0|1715.0|0|31.0|0|0.0|100
0|2021-11-13|1710.0|0|1715.0|0|31.0|0|0.0|100
0|2021-11-14|1710.0|0|1715.0|0|31.0|0|0.0|100
0|2021-11-15|1710.0|0|1715.0|0|31.0|0|0.0|100
0|2021-11-16|1711.0|0|1716.0|0|31.0|0|0.0|100
0|2021-11-17|1711.0|0|1716.0|0|31.0|0|0.0|100
0|2021-11-18|1711.0|0|1716.0|0|31.0|0|0.0|100
0|2021-11-19|1711.0|0|1716.0|0|31.0|0|0.0|100
