|dates|Marshall_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Marshall_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Marshall_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Marshall_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Marshall_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Marshall_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Marshall_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Marshall_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6783.0|0|6783.0|0|84.0|0|0.0|100
0|2021-10-18|6795.0|0|6795.0|0|84.0|0|0.0|100
0|2021-10-19|6797.0|0|6797.0|0|84.0|0|0.0|100
0|2021-10-20|6806.0|0|6806.0|0|84.0|0|0.0|100
0|2021-10-21|6827.0|0|6827.0|0|85.0|0|0.0|100
0|2021-10-22|6832.0|0|6832.0|0|85.0|0|0.0|100
0|2021-10-23|6832.0|0|6832.0|0|85.0|0|0.0|100
0|2021-10-24|6832.0|0|6832.0|0|85.0|0|0.0|100
0|2021-10-25|6832.0|0|6832.0|0|85.0|0|0.0|100
0|2021-10-26|6853.0|0|6853.0|0|87.0|0|0.0|100
0|2021-10-27|6855.0|0|6855.0|0|88.0|0|0.0|100
0|2021-10-28|6865.0|0|6865.0|0|88.0|0|0.0|100
0|2021-10-29|6868.0|0|6868.0|0|88.0|0|0.0|100
0|2021-10-30|6868.0|0|6868.0|0|88.0|0|0.0|100
0|2021-10-31|6868.0|0|6868.0|0|88.0|0|0.0|100
0|2021-11-01|6868.0|0|6868.0|0|88.0|0|0.0|100
0|2021-11-02|6876.0|0|6876.0|0|88.0|0|0.0|100
0|2021-11-03|6879.0|0|6879.0|0|88.0|0|0.0|100
0|2021-11-04|6882.0|0|6882.0|0|88.0|0|0.0|100
0|2021-11-05|6881.0|0|6881.0|0|88.0|0|0.0|100
0|2021-11-06|6881.0|0|6881.0|0|88.0|0|0.0|100
0|2021-11-07|6881.0|0|6881.0|0|88.0|0|0.0|100
0|2021-11-08|6881.0|0|6881.0|0|88.0|0|0.0|100
