|dates|Weber_Utah_UnitedStates.BLS_EmployedPopulation.data|Weber_Utah_UnitedStates.BLS_EmployedPopulation.missing|Weber_Utah_UnitedStates.BLS_UnemployedPopulation.data|Weber_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Weber_Utah_UnitedStates.BLS_UnemploymentRate.data|Weber_Utah_UnitedStates.BLS_UnemploymentRate.missing|Weber_Utah_UnitedStates.BLS_LaborForcePopulation.data|Weber_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-10-18|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-10-19|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-10-20|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-10-21|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-10-22|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-10-23|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-10-24|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-10-25|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-10-26|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-10-27|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-10-28|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-10-29|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-10-30|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-10-31|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-01|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-02|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-03|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-04|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-05|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-06|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-07|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-08|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-09|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-10|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-11|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
0|2021-11-12|129846.0|0|3769.0|0|2.820791078845938|0|133615.0|0
