|dates|Washakie_Wyoming_UnitedStates.JHU_ConfirmedCases.data|Washakie_Wyoming_UnitedStates.JHU_ConfirmedCases.missing|Washakie_Wyoming_UnitedStates.NYT_ConfirmedCases.data|Washakie_Wyoming_UnitedStates.NYT_ConfirmedCases.missing|Washakie_Wyoming_UnitedStates.JHU_ConfirmedDeaths.data|Washakie_Wyoming_UnitedStates.JHU_ConfirmedDeaths.missing|Washakie_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.data|Washakie_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1586.0|0|1585.0|0|29.0|0|0.0|100
0|2021-10-18|1603.0|0|1602.0|0|29.0|0|0.0|100
0|2021-10-19|1631.0|0|1630.0|0|32.0|0|0.0|100
0|2021-10-20|1645.0|0|1644.0|0|32.0|0|0.0|100
0|2021-10-21|1657.0|0|1656.0|0|33.0|0|0.0|100
0|2021-10-22|1677.0|0|1676.0|0|33.0|0|0.0|100
0|2021-10-23|1677.0|0|1676.0|0|33.0|0|0.0|100
0|2021-10-24|1677.0|0|1676.0|0|33.0|0|0.0|100
0|2021-10-25|1690.0|0|1689.0|0|33.0|0|0.0|100
0|2021-10-26|1700.0|0|1699.0|0|35.0|0|0.0|100
0|2021-10-27|1715.0|0|1714.0|0|35.0|0|0.0|100
0|2021-10-28|1719.0|0|1718.0|0|35.0|0|0.0|100
0|2021-10-29|1731.0|0|1730.0|0|35.0|0|0.0|100
0|2021-10-30|1731.0|0|1730.0|0|35.0|0|0.0|100
0|2021-10-31|1731.0|0|1730.0|0|35.0|0|0.0|100
0|2021-11-01|1745.0|0|1744.0|0|35.0|0|0.0|100
0|2021-11-02|1756.0|0|1755.0|0|35.0|0|0.0|100
0|2021-11-03|1764.0|0|1763.0|0|35.0|0|0.0|100
0|2021-11-04|1771.0|0|1770.0|0|35.0|0|0.0|100
0|2021-11-05|1781.0|0|1780.0|0|35.0|0|0.0|100
0|2021-11-06|1781.0|0|1780.0|0|35.0|0|0.0|100
0|2021-11-07|1781.0|0|1780.0|0|35.0|0|0.0|100
0|2021-11-08|1786.0|0|1785.0|0|35.0|0|0.0|100
0|2021-11-09|1791.0|0|1790.0|0|35.0|0|0.0|100
0|2021-11-10|1791.0|0|1802.0|0|35.0|0|0.0|100
0|2021-11-11|1803.0|0|1802.0|0|35.0|0|0.0|100
0|2021-11-12|1815.0|0|1814.0|0|35.0|0|0.0|100
0|2021-11-13|1815.0|0|1814.0|0|35.0|0|0.0|100
0|2021-11-14|1815.0|0|1814.0|0|35.0|0|0.0|100
0|2021-11-15|1819.0|0|1818.0|0|35.0|0|0.0|100
0|2021-11-16|1820.0|0|1819.0|0|35.0|0|0.0|100
0|2021-11-17|1822.0|0|1821.0|0|35.0|0|0.0|100
0|2021-11-18|1821.0|0|1820.0|0|35.0|0|0.0|100
