|dates|Williamsburg_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Williamsburg_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Williamsburg_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Williamsburg_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Williamsburg_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Williamsburg_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Williamsburg_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Williamsburg_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5612.0|0|5612.0|0|123.0|0|0.0|100
0|2021-10-18|5624.0|0|5624.0|0|124.0|0|0.0|100
0|2021-10-19|5632.0|0|5632.0|0|124.0|0|0.0|100
0|2021-10-20|5633.0|0|5633.0|0|124.0|0|0.0|100
0|2021-10-21|5633.0|0|5633.0|0|125.0|0|0.0|100
0|2021-10-22|5636.0|0|5636.0|0|126.0|0|0.0|100
0|2021-10-23|5636.0|0|5636.0|0|126.0|0|0.0|100
0|2021-10-24|5636.0|0|5636.0|0|126.0|0|0.0|100
0|2021-10-25|5644.0|0|5644.0|0|126.0|0|0.0|100
0|2021-10-26|5644.0|0|5644.0|0|126.0|0|0.0|100
0|2021-10-27|5647.0|0|5647.0|0|126.0|0|0.0|100
0|2021-10-28|5650.0|0|5650.0|0|126.0|0|0.0|100
0|2021-10-29|5653.0|0|5653.0|0|126.0|0|0.0|100
0|2021-10-30|5653.0|0|5653.0|0|126.0|0|0.0|100
0|2021-10-31|5653.0|0|5653.0|0|126.0|0|0.0|100
0|2021-11-01|5660.0|0|5660.0|0|126.0|0|0.0|100
0|2021-11-02|5661.0|0|5661.0|0|126.0|0|0.0|100
0|2021-11-03|5664.0|0|5664.0|0|127.0|0|0.0|100
0|2021-11-04|5665.0|0|5665.0|0|127.0|0|0.0|100
0|2021-11-05|5669.0|0|5669.0|0|127.0|0|0.0|100
0|2021-11-06|5669.0|0|5669.0|0|127.0|0|0.0|100
0|2021-11-07|5669.0|0|5669.0|0|127.0|0|0.0|100
0|2021-11-08|5683.0|0|5683.0|0|129.0|0|0.0|100
0|2021-11-09|5689.0|0|5689.0|0|129.0|0|0.0|100
0|2021-11-10|5689.0|0|5689.0|0|129.0|0|0.0|100
0|2021-11-11|5689.0|0|5689.0|0|129.0|0|0.0|100
0|2021-11-12|5692.0|0|5692.0|0|129.0|0|0.0|100
0|2021-11-13|5692.0|0|5692.0|0|129.0|0|0.0|100
0|2021-11-14|5692.0|0|5692.0|0|129.0|0|0.0|100
0|2021-11-15|5693.0|0|5693.0|0|129.0|0|0.0|100
0|2021-11-16|5696.0|0|5696.0|0|129.0|0|0.0|100
0|2021-11-17|5698.0|0|5698.0|0|129.0|0|0.0|100
0|2021-11-18|5699.0|0|5699.0|0|129.0|0|0.0|100
0|2021-11-19|5700.0|0|5700.0|0|129.0|0|0.0|100
0|2021-11-20|5700.0|0|5700.0|0|129.0|0|0.0|100
0|2021-11-21|5700.0|0|5700.0|0|129.0|0|0.0|100
0|2021-11-22|5702.0|0|5702.0|0|129.0|0|0.0|100
0|2021-11-23|5702.0|0|5702.0|0|129.0|0|0.0|100
0|2021-11-24|5703.0|0|5703.0|0|129.0|0|0.0|100
0|2021-11-25|5703.0|0|5703.0|0|129.0|0|0.0|100
0|2021-11-26|5703.0|0|5703.0|0|129.0|0|0.0|100
0|2021-11-27|5703.0|0|5703.0|0|129.0|0|0.0|100
0|2021-11-28|5703.0|0|5703.0|0|129.0|0|0.0|100
0|2021-11-29|5711.0|0|5711.0|0|129.0|0|0.0|100
0|2021-11-30|5711.0|0|5711.0|0|129.0|0|0.0|100
0|2021-12-01|5715.0|0|5715.0|0|129.0|0|0.0|100
0|2021-12-02|5716.0|0|5716.0|0|129.0|0|0.0|100
0|2021-12-03|5720.0|0|5720.0|0|129.0|0|0.0|100
0|2021-12-04|5720.0|0|5720.0|0|129.0|0|0.0|100
0|2021-12-05|5720.0|0|5720.0|0|129.0|0|0.0|100
0|2021-12-06|5733.0|0|5733.0|0|129.0|0|0.0|100
0|2021-12-07|5738.0|0|5738.0|0|129.0|0|0.0|100
0|2021-12-08|5742.0|0|5742.0|0|129.0|0|0.0|100
0|2021-12-09|5743.0|0|5743.0|0|129.0|0|0.0|100
0|2021-12-10|5747.0|0|5747.0|0|129.0|0|0.0|100
0|2021-12-11|5747.0|0|5747.0|0|129.0|0|0.0|100
0|2021-12-12|5747.0|0|5747.0|0|129.0|0|0.0|100
0|2021-12-13|5755.0|0|5755.0|0|129.0|0|0.0|100
0|2021-12-14|5755.0|0|5756.0|0|129.0|0|0.0|100
0|2021-12-15|5757.0|0|5757.0|0|129.0|0|0.0|100
0|2021-12-16|5759.0|0|5759.0|0|129.0|0|0.0|100
0|2021-12-17|5764.0|0|5764.0|0|129.0|0|0.0|100
0|2021-12-18|5764.0|0|5764.0|0|129.0|0|0.0|100
0|2021-12-19|5764.0|0|5764.0|0|129.0|0|0.0|100
0|2021-12-20|5774.0|0|5774.0|0|129.0|0|0.0|100
0|2021-12-21|5778.0|0|5778.0|0|130.0|0|0.0|100
0|2021-12-22|5783.0|0|5783.0|0|130.0|0|0.0|100
0|2021-12-23|5793.0|0|5793.0|0|130.0|0|0.0|100
0|2021-12-24|5793.0|0|5793.0|0|130.0|0|0.0|100
0|2021-12-25|5793.0|0|5793.0|0|130.0|0|0.0|100
0|2021-12-26|5793.0|0|5793.0|0|130.0|0|0.0|100
0|2021-12-27|5793.0|0|5793.0|0|130.0|0|0.0|100
0|2021-12-28|5793.0|0|5793.0|0|130.0|0|0.0|100
0|2021-12-29|5838.0|0|5838.0|0|131.0|0|0.0|100
0|2021-12-30|5853.0|0|5853.0|0|131.0|0|0.0|100
0|2021-12-31|5894.0|0|5894.0|0|131.0|0|0.0|100
0|2022-01-01|5894.0|0|5894.0|0|131.0|0|0.0|100
0|2022-01-02|5894.0|0|5894.0|0|131.0|0|0.0|100
0|2022-01-03|5894.0|0|5894.0|0|131.0|0|0.0|100
0|2022-01-04|6055.0|0|6055.0|0|131.0|0|0.0|100
0|2022-01-05|6085.0|0|6085.0|0|132.0|0|0.0|100
0|2022-01-06|6164.0|0|6164.0|0|132.0|0|0.0|100
0|2022-01-07|6223.0|0|6223.0|0|132.0|0|0.0|100
0|2022-01-08|6223.0|0|6223.0|0|132.0|0|0.0|100
0|2022-01-09|6223.0|0|6223.0|0|132.0|0|0.0|100
0|2022-01-10|6519.0|0|6519.0|0|132.0|0|0.0|100
0|2022-01-11|6561.0|0|6561.0|0|132.0|0|0.0|100
0|2022-01-12|6643.0|0|6643.0|0|132.0|0|0.0|100
0|2022-01-13|6643.0|0|6714.0|0|132.0|0|0.0|100
0|2022-01-14|6793.0|0|6793.0|0|132.0|0|0.0|100
0|2022-01-15|6793.0|0|6793.0|0|132.0|0|0.0|100
0|2022-01-16|6793.0|0|6793.0|0|132.0|0|0.0|100
0|2022-01-17|6793.0|0|0.0|100|132.0|0|0.0|100
